"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"633","Matt Grzelcyk","BOS","D","2","24.966666666667","0","0","0","0","0","0.00","4","0.00","8","5","2","0","1","1","2","1","1","0","0","0","0","0","0","2","1","0","0","-"
"38","Matt Hendricks","EDM","C, L","42","451.45","4","3","0","3","7","58.33","42","9.52","61","51","30","13","7","1","29","13","12","1","0","8","9","10","79","47","39","132","100","56.90"
"146","Matt Hunwick","TOR","D","72","1294.45","1","18","9","9","19","41.30","73","1.37","174","111","27","1","5","5","18","8","8","0","0","6","44","26","91","116","90","0","0","-"
"416","Matt Irwin","NSH","D","74","1203.8","3","11","4","7","14","29.17","98","3.06","217","141","33","4","0","12","26","13","13","0","0","10","39","18","115","133","121","0","0","-"
"813","Matt Lorito","DET","L","2","28.866666666667","0","1","0","1","1","50.00","6","0.00","8","7","6","2","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","-"
"327","Matt Martin","TOR","L","82","729.6","5","4","2","2","9","45.00","66","7.58","113","96","63","31","6","9","123","34","19","13","2","36","13","16","300","109","26","0","11","0.00"
"116","Matt Moulson","BUF","L","81","940.13333333333","14","18","9","9","32","64.00","134","10.45","200","174","126","81","4","15","10","5","5","0","0","5","12","18","37","29","18","1","3","25.00"
"551","Matt Nieto","COL, S.J","L","59","880.56666666667","7","6","3","3","13","72.22","85","8.24","129","109","82","35","3","7","8","4","4","0","0","8","18","28","41","56","34","2","4","33.33"
"167","Matt Niskanen","WSH","D","78","1729.7333333333","5","34","17","17","39","45.88","154","3.25","340","216","65","6","6","11","32","16","16","0","0","6","67","36","147","135","93","0","0","-"
"581","Matt Puempel","NYR, OTT","L","40","385.75","6","3","2","1","9","81.82","44","13.64","80","63","43","29","1","6","11","4","3","1","0","6","6","8","28","41","12","0","1","0.00"
"491","Matt Read","PHI","R","63","869.1","10","9","7","2","19","61.29","92","10.87","161","124","86","45","7","8","8","4","4","0","0","5","18","21","95","125","32","5","10","33.33"
"70","Matt Stajan","CGY","C","81","1027.1833333333","6","17","10","7","23","74.19","59","10.17","108","92","66","33","3","6","40","20","20","0","0","13","22","30","60","39","39","385","383","50.13"
"601","Matt Tennyson","CAR","D","45","597.9","0","6","5","1","6","28.57","36","0.00","82","50","23","3","3","5","6","3","3","0","0","3","11","11","65","98","48","0","0","-"
"663","Matthew Benning","EDM","D","62","1029.8166666667","3","12","6","6","15","31.25","69","4.35","152","98","43","4","4","6","29","13","12","1","0","15","49","7","111","95","64","0","0","-"
"497","Matthew Peca","T.B","C","10","114.45","1","1","1","0","2","100.00","9","11.11","24","17","13","5","1","2","2","1","1","0","0","0","2","0","9","16","2","32","40","44.44"
"870","Matthew Tkachuk","CGY","L","76","1114.2333333333","13","35","25","10","48","68.57","142","9.15","232","192","148","89","6","19","103","38","33","3","2","50","27","40","65","81","22","8","15","34.78"
"381","Mattias Ekholm","NSH","D","82","1923.5833333333","3","20","6","14","23","32.39","120","2.50","284","188","83","18","2","14","34","17","17","0","0","12","66","38","61","131","108","0","0","-"
"740","Max Domi","ARI","C, L","59","1001.8666666667","9","29","19","10","38","67.86","108","8.33","210","149","114","40","7","11","40","17","15","2","0","17","36","27","28","33","21","5","5","50.00"
"507","Max McCormick","OTT","L, R","7","47.316666666667","0","0","0","0","0","-","7","0.00","14","9","9","5","0","0","0","0","0","0","0","1","0","2","13","4","1","15","9","62.50"
"273","Max Pacioretty","MTL","L","81","1553.3","35","32","18","14","67","72.83","268","13.06","500","385","237","94","21","41","38","19","19","0","0","16","47","44","63","143","35","27","23","54.00"
"766","Melker Karlsson","S.J","C","67","857.65","11","11","5","6","22","75.86","73","15.07","133","105","99","52","4","7","22","11","11","0","0","17","23","17","67","106","59","1","5","16.67"
"429","Michael Bournival","T.B","L","19","192.8","2","1","0","1","3","100.00","25","8.00","46","39","27","15","5","2","2","1","1","0","0","1","3","6","31","26","8","1","2","33.33"
"466","Michael Chaput","VAN","C","68","749.5","4","5","2","3","9","56.25","64","6.25","113","80","69","26","3","7","29","13","12","1","0","9","14","13","68","52","29","203","182","52.73"
"299","Michael Del Zotto","PHI","D","51","994.7","6","12","7","5","18","47.37","92","6.52","188","132","46","14","3","12","28","13","13","0","0","12","30","9","173","77","85","0","1","0.00"
"223","Michael Frolik","CGY","R","82","1400.7333333333","17","27","11","16","44","61.97","202","8.42","352","271","178","66","10","18","58","24","23","0","1","7","38","45","60","90","48","13","16","44.83"
"219","Michael Grabner","NYR","R","76","1071.2","27","13","9","4","40","71.43","162","16.67","264","221","167","88","18","13","10","5","5","0","0","13","22","48","41","26","34","7","6","53.85"
