Name;Last_Name;First_Name;Team;Age;Position;GP_13;GP_14;GP_15;GP_16;GP_17;GP_18;GP_var;GP_mean;G_13;G_14;G_15;G_16;G_17;G_18;A_13;A_14;A_15;A_16;A_17;A_18;PTS_13;PTS_14;PTS_15;PTS_16;PTS_17;PTS_18;PTS_var;PTS_mean;PAX_18;PTS/G_13;PTS/G_14;PTS/G_15;PTS/G_16;PTS/G_17;PTS/G_18;PTS/G_var;PTS/G_mean;$/PTS_13;$/PTS_14;$/PTS_15;$/PTS_16;$/PTS_17;$/PTS_18;Sh%_13;Sh%_14;Sh%_15;Sh%_16;Sh%_17;iSF_13;iSF_14;iSF_15;iSF_16;iSF_17;iSF_18;TOI/G_13;TOI/G_14;TOI/G_15;TOI/G_16;TOI/G_17;TOI/G_18;PPTOI/GP_17;PPTOI/GP_18;Sh%_18;ZS%_18;GC_18;SCF_18;GS/G_18;OWAR_18;OPS_18;PDO_17;PDO_18;iCF_17;iCF_18;iFF_17;iFF_18;Cap Cost_13;Cap Cost_14;Cap Cost_15;Cap Hit_16;Cap Hit_17;Cap Hit_18;Cap_Hit;END;Star;Score;POS;PTS
STRALMANANTON;Stralman;Anton;TBL;32.0;D;48.0;81.0;82.0;73.0;73.0;80.0;15.760000000000002;77.8;4.0;1.0;9.0;9.0;5.0;4.0;3.0;12.0;30.0;25.0;17.0;14.0;7.0;13.0;39.0;34.0;22.0;18.0;95.75999999999999;25.2;-8.6;0.14583333333333334;0.16049382716049382;0.47560975609756095;0.4657534246575342;0.3013698630136986;0.225;0.017842841436329415;0.29567670071043683;142160.27874564458;129174.48405253283;115384.61538461539;117826.39885222382;182095.34368070954;243902.43902439025;0.061;0.01;0.065;0.071;0.08800000000000001;66.0;104.0;138.0;127.0;130.0;131.0;18.0;19.4;21.9;22.1;22.9;21.49;1.72;0.42;0.11;0.47200000000000003;6.1;827.0;0.46;0.15;0.1;997;-0.02299999999999991;257.0;239.0;183.0;159.0;1700000.0;1700000.0;4500000.0;4500000.0;4500000.0;4500000.0;4500000.0;19.0;1.213;4.4215629491603075;D;24.0
STREITMARK;Streit;Mark;MTL;41.0;D;48.0;82.0;81.0;62.0;68.0;2.0;870.4;59.0;6.0;10.0;9.0;6.0;6.0;0.0;21.0;34.0;43.0;17.0;21.0;0.0;27.0;44.0;52.0;23.0;27.0;0.0;326.96000000000004;29.2;-1.1;0.5625;0.5365853658536586;0.6419753086419753;0.3709677419354839;0.39705882352941174;0.0;0.043747007838568615;0.41818120666008823;88888.88888888889;119318.18181818182;99730.30018761725;172587.48674443268;161246.61246612464;;0.07200000000000001;0.083;0.063;0.055;0.075;83.0;121.0;144.0;110.0;114.0;3.0;23.3;20.6;22.4;21.9;18.72;14.22;2.25;2.08;0.0;0.789;0.0;19.0;0.19;0.0;0.0;995;0.16700000000000004;224.0;4.0;154.0;3.0;4100000.0;5250000.0;5250000.0;5250000.0;5250000.0;;;;0.0002;;;
SUBBANPK;Subban;P.K.;NSH;29.0;D;42.0;82.0;82.0;68.0;66.0;82.0;54.4;76.0;11.0;10.0;15.0;6.0;10.0;16.0;27.0;43.0;45.0;45.0;30.0;43.0;38.0;53.0;60.0;51.0;40.0;59.0;51.44;52.6;6.8;0.9047619047619048;0.6463414634146342;0.7317073170731707;0.75;0.6060606060606061;0.7195121951219512;0.008889412918214894;0.7263972477387112;34837.30166880616;54245.28301886792;150000.0;146341.46341463414;181097.56097560975;152542.37288135593;0.087;0.049;0.08800000000000001;0.034;0.08900000000000001;126.0;204.0;170.0;176.0;143.0;207.0;23.2;24.6;26.2;26.4;24.4;24.11;2.55;3.09;0.105;0.462;21.2;880.0;0.81;0.73;5.4;986;-0.018999999999999906;295.0;431.0;197.0;292.0;2584596.0;2875000.0;9000000.0;9000000.0;9000000.0;9000000.0;9000000.0;22.0;5.4057;7.20298801699682;D;54.0
SUSTRANDREJ;Sustr;Andrej;TBL;28.0;D;2.0;43.0;72.0;77.0;80.0;44.0;265.36;63.2;0.0;1.0;0.0;4.0;3.0;2.0;0.0;7.0;13.0;17.0;11.0;5.0;0.0;8.0;13.0;21.0;14.0;7.0;25.04;12.6;-2.0;0.0;0.18604651162790697;0.18055555555555555;0.2727272727272727;0.175;0.1590909090909091;0.006600699819074297;0.16223670816694072;3658.5365853658536;88490.8536585366;59031.89493433397;64837.398373983735;101045.29616724738;149477.35191637633;0.0;0.026000000000000002;0.0;0.062;0.065;2.0;39.0;55.0;65.0;93.0;45.0;10.7;15.8;17.7;16.8;17.58;12.84;0.11;0.05;0.075;0.4;2.5;262.0;0.19;-0.05;0.2;982;0.015000000000000013;164.0;94.0;119.0;66.0;150000.0;1350000.0;874000.0000000001;1450000.0;1450000.0;1950000.0;1300000.0;;0.1929;2.8949011855524476;;
SUTERRYAN;Suter;Ryan;MIN;34.0;D;48.0;82.0;77.0;82.0;82.0;78.0;4.959999999999999;80.2;4.0;8.0;2.0;8.0;9.0;6.0;28.0;35.0;36.0;43.0;31.0;45.0;32.0;43.0;38.0;51.0;40.0;51.0;29.839999999999996;44.6;13.2;0.6666666666666666;0.524390243902439;0.4935064935064935;0.6219512195121951;0.4878048780487805;0.6538461538461539;0.005604813044906661;0.5746942759137881;137898.6951219512;175313.06976744186;186272.78562259304;147803.92156862744;188461.55;140602.59110473457;0.044000000000000004;0.053;0.013000000000000001;0.043;0.102;91.0;150.0;150.0;188.0;164.0;149.0;27.3;29.4;29.1;28.6;26.93;26.78;2.7;3.09;0.09699999999999999;0.478;16.2;994.0;0.58;0.39;3.2;1029;-0.0020000000000000018;332.0;323.0;226.0;214.0;7538462.0;7538462.0;7537999.999999999;7537999.999999999;7538462.0;7538462.0;7538462.0;25.0;4.208;6.558380416709212;D;48.0
TANEVCHRISTOPHER;Tanev;Christopher;VAN;29.0;D;38.0;64.0;70.0;69.0;;42.0;128.6875;61.25;2.0;6.0;2.0;4.0;;2.0;5.0;11.0;18.0;14.0;;9.0;7.0;17.0;20.0;18.0;;11.0;11.25;16.5;1.9;0.18421052631578946;0.265625;0.2857142857142857;0.2608695652173913;;0.2619047619047619;0.0012187836444452246;0.2516648278304457;59581.88153310105;68866.57101865136;85365.8536585366;208028.45528455282;;207206.20842572066;0.1;0.092;0.038;0.095;;20.0;65.0;53.0;42.0;;31.0;17.3;20.7;21.1;21.8;;19.78;;0.19;0.121;0.345;3.7;276.0;0.24;0.09;0.3;;-0.0129999999999999;;50.0;;39.0;900000.0;1500000.0;2000000.0;4450000.0;;4450000.0;4450000.0;;1.2424;2.922988544525683;;
TENNYSONMATT;Tennyson;Matt;BUF;28.0;D;4.0;;27.0;29.0;45.0;15.0;114.0;29.0;0.0;;2.0;1.0;0.0;0.0;2.0;;6.0;3.0;6.0;0.0;2.0;;8.0;4.0;6.0;0.0;8.75;4.5;-2.9;0.5;;0.2962962962962963;0.13793103448275862;0.13333333333333333;0.0;0.029331417787629523;0.21351213282247766;6380.878048780488;;10660.060975609756;55259.14634146341;61737.80487804878;118902.43902439025;0.0;;0.054000000000000006;0.043;0.079;8.0;;37.0;23.0;36.0;25.0;15.7;;17.6;10.5;13.28;17.97;0.07;1.77;0.081;0.5379999999999999;0.0;106.0;-0.04;-0.16;-0.3;971;0.05300000000000005;82.0;47.0;50.0;31.0;261616.0;;259000.0;625000.0;675000.0;650000.0;;19.0;0.0125;2.6435018082291935;;
THEODORESHEA;Theodore;Shea;VGK;23.0;D;;;;19.0;34.0;61.0;302.0;38.0;;;;3.0;2.0;6.0;;;;5.0;7.0;23.0;;;;8.0;9.0;29.0;93.55555555555556;15.333333333333334;9.4;;;;0.42105263157894735;0.2647058823529412;0.47540983606557374;0.00797724086480842;0.3870561166658207;;;;24995.426829268294;39774.14905149051;22146.052565180824;;;;0.107;0.085;;;;28.0;60.0;144.0;;;;19.1;17.32;20.35;2.17;2.55;0.094;0.617;10.0;723.0;0.6;0.52;2.1;984;-0.0020000000000000018;126.0;262.0;89.0;187.0;;;;863000.0;863333.0;863333.0;;;2.6505;4.944940864519183;D;37.0
TROTMANZACH;Trotman;Zach;PIT;28.0;D;;2.0;27.0;38.0;;3.0;240.25;17.5;;0.0;1.0;2.0;;0.0;;0.0;4.0;5.0;;0.0;;0.0;5.0;7.0;;0.0;9.5;3.0;-0.5;;0.0;0.18518518518518517;0.18421052631578946;;0.0;0.008528443224695917;0.09234892787524365;;21951.219512195123;18175.60975609756;41376.30662020906;;23780.48780487805;;0.0;0.022000000000000002;0.033;;;4.0;46.0;60.0;;6.0;;15.0;16.4;18.6;;12.78;;1.09;0.0;0.6;0.0;12.0;0.1;0.0;0.0;;0.17600000000000005;;10.0;;7.0;;900000.0;276000.0;625000.0;;650000.0;;;0.0006;2.457492537753208;;
TROUBAJACOB;Trouba;Jacob;WPG;24.0;D;;65.0;65.0;81.0;60.0;55.0;76.16;65.2;;10.0;7.0;6.0;8.0;3.0;;19.0;15.0;15.0;25.0;21.0;;29.0;22.0;21.0;33.0;24.0;20.560000000000002;25.8;2.7;;0.4461538461538462;0.3384615384615385;0.25925925925925924;0.55;0.43636363636363634;0.00987291183975981;0.4060476560476561;;49952.6913372582;65828.71396895788;42052.264808362364;73366.38580931263;78601.37195121952;;0.083;0.053;0.045;0.096;;121.0;133.0;133.0;153.0;144.0;;22.4;23.3;22.1;24.95;21.9;1.68;1.47;0.091;0.441;7.7;575.0;0.59;0.59;1.3;1004;-0.0009999999999998899;321.0;277.0;217.0;185.0;;1827500.0;1827000.0;894000.0;3308824.0;2812500.0;;;1.9062;4.873923292135954;D;26.0
