"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"22","Hal Gill","MTL, NSH","D","76","1302.35","17.136184210526","40.22","65.33","38.11","29.81","45.43","39.62","21.88","32.11","40.53","2.12","3.13","40.35","18.47","30.08","38.05","7.28","11.43","38.92","1.01","1.57","39.29","14.93","24.88","37.50","0.92","1.17","44.12","26.69","42.79","38.41","0.47","0.93","33.33","9.68","90.24","0.999","6.73","13.08","15.99","43.58","29.61","12.44","19.12","27.27","31.32"
"49","Marty Reasoner","NYI","C","61","708.18333333333","11.60956284153","39.82","65.07","37.96","29.99","45.84","39.55","22.28","35.33","38.68","0.59","3.73","13.73","18.64","29.65","38.60","8.22","12.12","40.42","0.34","2.46","12.12","13.89","23.38","37.27","0.23","0.79","22.22","24.35","40.87","37.34","0.12","0.98","11.11","2.66","89.45","0.921","7.12","12.03","11.18","46.17","38.89","11.44","17.79","20.84","35.43"
"423","Nicklas Grossmann","DAL, PHI","D","74","1392.35","18.815540540541","44.51","65.03","40.64","34.47","46.2","42.74","24.74","31.67","43.85","2.24","2.76","44.83","17.93","28.79","38.38","7.41","11.07","40.09","1.29","1.59","44.78","14.02","23.61","37.25","0.63","0.86","42.31","29.82","43.94","40.42","0.5","0.75","40.00","9.06","91.29","1.004","7.37","14.74","12.54","42.32","37.01","13.83","21.46","23.31","37.24"
"669","Nick Spaling","NSH","C","77","1209.65","15.70974025974","43.45","64.98","40.07","33.28","47.02","41.45","24.55","33.88","42.02","1.88","3.12","37.62","19.59","28.12","41.06","8.08","11.56","41.16","1.14","2.23","33.82","15.34","22.09","40.99","0.4","0.73","35.29","28.8","44.71","39.18","0.43","0.5","46.15","7.68","90.78","0.985","9.08","12.4","15.97","47.07","36.24","15.57","19.05","26.78","36.77"
"848","Casey Wellman","MIN","C","14","178.3","12.735714285714","60.57","64.95","48.26","45.43","47.45","48.91","32.31","31.97","50.26","2.02","3.03","40.00","28.6","27.93","50.60","14.47","10.77","57.33","1.35","1.35","50.00","18.84","22.88","45.16","0","1.79","0.00","38.89","47.64","44.94","0.97","0.49","66.67","6.25","90.53","0.968","11.1","10.43","11.44","48.46","49.25","18.51","15.14","16.49","52.88"
"613","David Schlemko","PHX","D","46","844.41666666667","18.356884057971","52.08","64.94","44.51","38.8","46.68","45.39","29.2","32.12","47.62","2.49","2.56","49.30","23.09","28.71","44.58","9.73","13.07","42.68","1.35","1.78","43.18","17.81","20.84","46.08","0.95","0.76","55.56","32.54","43.62","42.72","0.51","0.31","62.50","8.52","92.04","1.006","6.61","13.36","11.23","43.27","37.05","15.99","21.88","22.03","42.06"
"80","Scott Hannan","CGY","D","78","1587.7333333333","20.355555555556","42.51","64.85","39.60","31.82","48.37","39.68","23.54","34.8","40.35","2.15","3.44","38.51","19.12","29.44","39.38","7.33","11.45","39.03","0.87","1.51","36.51","15.72","23.98","39.59","0.86","1.21","41.46","28.17","44.32","38.86","0.82","1.47","35.71","9.15","90.12","0.993","6.5","13.04","11.45","43.23","36.21","15.27","21.39","23.32","39.57"
"197","Paul Gaustad","BUF, NSH","C","70","1033.7","14.767142857143","37.67","64.84","36.75","28.79","47.71","37.63","20.9","34.59","37.66","1.8","2.79","39.24","15.9","25.13","38.76","7.14","10.39","40.73","0.87","1.51","36.59","11.69","19.66","37.28","0.93","0.77","54.55","26.66","48.21","35.61","0.17","1.01","14.29","8.61","91.95","1.006","8.01","16.14","23.74","35.06","25.23","12.83","23.39","36.34","26.09"
"501","Taylor Chorney","EDM, STL","D","5","70.716666666667","14.143333333333","35.64","64.48","35.59","28","53.45","34.38","17.82","38.18","31.82","0.85","1.7","33.33","16.12","29.7","35.19","6.79","12.73","34.78","0.85","0.85","50.00","12.44","22.63","35.48","0","1.13","0.00","25.74","39.22","39.62","0","0","-","4.76","95.56","1.003","10.18","15.27","5.09","56","66.67","13.58","23.76","13.58","50.00"
"77","Eric Brewer","T.B","D","82","1907.9833333333","23.268089430894","45.38","64.43","41.32","34.12","47.61","41.75","24.87","33.68","42.48","2.64","3.74","41.38","22.52","32.17","41.17","10.66","12.86","45.32","1.51","2.17","41.03","15.81","25.74","38.04","0.8","1.13","41.30","28.93","41.38","41.15","0.73","1.04","41.03","10.62","88.89","0.995","5.66","14.94","14.43","37.74","28.17","12.42","23.27","28.93","30.04"
"179","Nick Schultz","EDM, MIN","D","82","1616.0666666667","19.708130081301","41.92","64.38","39.43","32.41","47.15","40.74","22.42","33.34","40.21","1.34","2.38","36.00","20.64","26.88","43.44","8.43","11.58","42.12","0.67","1.56","30.00","16.29","20.4","44.40","0.54","0.59","47.83","26.17","46.07","36.23","0.38","0.54","41.18","5.96","92.87","0.988","7.43","13.59","13.03","51.38","36.30","14.81","19.49","23.39","38.78"
"6","Steve Staios","NYI","D","65","1110.05","17.077692307692","44.92","64.32","41.12","33.67","45.94","42.29","25.84","32.7","44.14","1.62","3.3","32.97","22.27","32.49","40.67","10.16","14.43","41.32","1.3","1.73","42.86","16.14","24.07","40.14","0.29","1.08","21.05","25.22","37.79","40.02","0.16","1.09","12.50","6.28","89.92","0.962","7.08","12.05","11.78","42","37.54","14.76","18.59","21.4","40.81"
"520","Tom Pyatt","T.B","L","74","1094.7833333333","14.794369369369","38.14","64.18","37.28","29.16","45.71","38.95","21.54","32.28","40.02","1.53","3.56","30.11","18.2","29.76","37.94","9.48","11.07","46.13","0.99","1.81","35.29","11.62","24.92","31.80","0.29","1.32","18.18","25.41","44.33","36.44","0.47","1.11","30.00","7.12","88.96","0.961","5.37","14.69","15.18","43.79","26.13","10.47","22.42","26.42","28.38"
"571","Jiri Tlusty","CAR","L","79","1177.5666666667","14.905907172996","53.04","64.1","45.28","39.64","47.28","45.60","28.07","33.63","45.50","2.85","2.6","52.34","24.36","29.45","45.27","11.57","13.09","46.90","1.68","1.63","50.77","17.05","21.81","43.88","0.61","0.68","47.37","34.59","41.95","45.19","1.03","0.59","63.64","10.16","92.27","1.024","11.41","16.92","11.72","50.75","49.34","18.5","23.74","19.82","48.27"
"759","Tomas Kundratek","WSH","D","5","48.75","9.75","38.15","64","37.35","22.15","40.62","35.29","16","28.31","36.11","0","0","-","16","28.31","36.11","4.92","9.85","33.33","0","0","-","14.77","24.62","37.50","0","0","-","26.67","44.44","37.50","0","0","-","0.00","100.00","1.000","4.92","19.69","6.15","51.69","44.44","12.31","25.85","12.31","50.00"
"850","Nate Prosser","MIN","D","51","981.61666666667","19.247385620915","45.35","64","41.48","33.19","44.99","42.46","24.2","32.64","42.58","1.77","3","37.18","19.99","27.75","41.87","8.56","11.55","42.55","1.04","2.2","32.08","15.24","21.6","41.37","0.33","0.57","36.36","30.9","42.91","41.87","0.62","0.44","58.33","7.32","90.82","0.981","6.54","9.66","13.08","52.02","33.33","13.08","16.56","23.23","36.03"
