"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"54","Peter Forsberg","COL","C","9","173.2","1","13","8","5","14","87.50","15","6.67","21","17","12","6","1","2","8","4","4","0","0","8","15","10","9","20","0","4","0","100.00"
"57","Philippe Boucher","DAL","D","38","817.33333333333","2","12","8","4","14","35.00","72","2.78","138","101","22","2","1","6","26","13","13","0","0","3","25","14","65","44","67","0","0","-"
"68","Yanic Perreault","CHI","C","53","609.75","9","5","1","4","14","58.33","58","15.52","96","70","50","19","1","2","24","11","11","0","0","3","15","12","17","29","12","294","163","64.33"
"138","Mathieu Dandenault","MTL","R","61","679.21666666667","9","5","3","2","14","73.68","69","13.04","118","99","67","31","2","4","34","13","12","0","1","4","19","17","70","55","26","0","1","0.00"
"156","Dick Tarnstrom","CBJ, EDM","D","48","929.91666666667","3","11","2","9","14","41.18","44","6.82","117","74","26","3","0","2","52","25","25","0","0","4","24","7","22","61","71","0","0","-"
"238","Jason Ward","T.B","R","79","990.93333333333","8","6","4","2","14","63.64","85","9.41","147","115","83","27","9","4","42","17","16","0","1","7","19","48","48","93","50","18","27","40.00"
"253","Mike York","PHX","L","63","755.03333333333","6","8","4","4","14","56.00","85","7.06","133","106","74","28","3","4","4","2","2","0","0","12","8","14","24","40","17","104","101","50.73"
"343","Mike Commodore","CAR, OTT","D","67","1220.1833333333","3","11","7","4","14","31.11","97","3.09","211","138","44","10","4","17","100","38","30","8","0","23","28","23","144","90","95","0","0","-"
"352","Niclas Havelid","ATL","D","81","1660.9166666667","1","13","5","8","14","19.18","54","1.85","97","71","20","1","0","2","42","21","21","0","0","12","45","28","35","87","184","0","0","-"
"378","Brian Pothier","WSH","D","38","710.48333333333","5","9","7","2","14","41.18","65","7.69","123","81","16","2","1","4","20","9","9","0","0","8","27","18","25","37","34","0","0","-"
"411","Joel Lundqvist","DAL","C","55","597.8","3","11","10","1","14","66.67","48","6.25","90","69","50","21","3","2","22","11","11","0","0","4","23","20","88","76","9","107","117","47.77"
"505","Aaron Voros","MIN","L","55","504.6","7","7","6","1","14","56.00","52","13.46","88","71","58","34","4","8","141","40","23","15","2","32","10","8","96","67","5","3","12","20.00"
"690","Brett Lebda","DET","D","78","1285.1166666667","3","11","5","6","14","34.15","110","2.73","224","160","47","8","5","5","48","24","24","0","0","16","26","8","46","85","38","0","1","0.00"
"786","Marc-Edouard Vlasic","S.J","D","82","1771.85","2","12","5","7","14","32.56","72","2.78","181","126","38","8","1","13","24","11","11","0","0","12","37","12","24","99","85","0","0","-"
"846","Magnus Johansson","CHI, FLA","D","45","708.88333333333","0","14","4","10","14","48.28","37","0.00","86","52","11","1","1","8","18","9","9","0","0","4","15","7","23","39","37","0","0","-"
"44","Geoff Sanderson","EDM","L","41","416.4","3","10","5","5","13","86.67","40","7.50","59","51","37","13","1","3","16","8","8","0","0","9","18","20","8","19","7","12","11","52.17"
"48","Darryl Sydor","PIT","D","74","1298.9166666667","1","12","5","7","13","22.81","59","1.69","130","96","24","3","0","6","26","10","8","2","0","12","21","7","36","96","102","0","0","-"
"53","Aaron Ward","BOS","D","65","1348.4833333333","5","8","2","6","13","24.07","68","7.35","146","105","20","2","1","9","54","27","27","0","0","11","18","5","143","81","119","0","0","-"
"55","Martin Lapointe","CHI, OTT","R","70","658.31666666667","6","7","2","5","13","65.00","63","9.52","102","76","52","23","3","3","70","21","15","4","2","12","22","11","79","19","12","9","14","39.13"
"65","Jassen Cullimore","FLA","D","65","1174.8166666667","3","10","3","7","13","27.08","55","5.45","100","67","11","2","0","4","38","19","19","0","0","6","31","11","77","57","68","1","0","100.00"
"81","Mattias Norstrom","DAL","D","66","1287.05","2","11","4","7","13","30.23","54","3.70","97","72","17","3","1","4","40","20","20","0","0","7","43","21","77","145","91","0","0","-"
