"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"500","Anders Lee","NYI","L","28","1990-07-03","Edina","MN","USA","USA","75","231","2009","NYI","6","1","152"
"117","Andre Benoit","STL","D","34","1984-01-06","St. Albert","ON","CAN","CAN","71","190","-","-","-","-","-"
"791","Andre Burakovsky","WSH","L","23","1995-02-09","Klagenfurt","","AUT","SWE","75","201","2013","WSH","1","23","23"
"756","Andreas Athanasiou","DET","C","24","1994-08-06","London","ON","CAN","CAN","74","188","2012","DET","4","19","110"
"885","Andreas Martinsen","COL","L","28","1990-06-13","Bærum","","NOR","NOR","75","229","-","-","-","-","-"
"33","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"490","Andrej Nestrasil","CAR","C","27","1991-02-22","Prague","","CZE","CZE","75","200","2009","DET","3","14","75"
"187","Andrej Sekera","EDM","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"770","Andrej Sustr","T.B","D","28","1990-11-29","Plzen","","CZE","CZE","79","217","-","-","-","-","-"
"508","Andrew Agozzino","COL","L","27","1991-01-03","Kleinburg","ON","CAN","CAN","70","187","-","-","-","-","-"
"285","Andrew Bodnarchuk","CBJ, COL","D","30","1988-07-11","Drumheller","AB","CAN","CAN","71","195","2006","BOS","5","5","128"
"400","Andrew Campbell","TOR","D","30","1988-02-04","Caledonia","ON","CAN","CAN","76","205","2008","L.A","3","13","74"
"222","Andrew Cogliano","ANA","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"789","Andrew Copp","WPG","C","24","1994-07-08","Ann Arbor","MI","USA","USA","73","206","2013","WPG","4","13","104"
"251","Andrew Desjardins","CHI","L","32","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"17","Andrew Ference","EDM","D","39","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"169","Andrew Ladd","CHI, WPG","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"295","Andrew MacDonald","PHI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"776","Andrew Miller","EDM","C","30","1988-09-18","Bloomfield Hills","MI","USA","USA","70","181","-","-","-","-","-"
"623","Andrew Shaw","CHI","C","27","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"626","Andrey Pedan","VAN","D","25","1993-07-03","Kaunas","","LTU","LTU","77","213","2011","NYI","3","2","63"
"634","Andy Andreoff","L.A","L","27","1991-05-17","Pickering","ON","CAN","CAN","73","188","2011","L.A","3","19","80"
"255","Andy Greene","N.J","D","36","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"583","Anthony Bitetto","NSH","D","28","1990-07-15","Island Park","NY","USA","USA","73","210","2010","NSH","6","18","168"
"782","Anthony Duclair","ARI","L","23","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","191","2013","NYR","3","19","80"
"825","Anthony Mantha","DET","R","24","1994-09-16","Longueuil","QC","CAN","CAN","77","225","2013","DET","1","20","20"
"330","Anthony Peluso","WPG","R","29","1989-04-18","North York","ON","CAN","CAN","75","225","2007","STL","6","9","160"
"426","Antoine Roussel","DAL","L","29","1989-11-21","Roubaix","","FRA","FRA","71","199","-","-","-","-","-"
"55","Antoine Vermette","ARI","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"445","Anton Lander","EDM","C","27","1991-04-24","Sundsvall","","SWE","SWE","72","184","2009","EDM","2","10","40"
"784","Anton Slepyshev","EDM","L","24","1994-05-13","Penza","","RUS","RUS","74","221","2013","EDM","3","27","88"
"248","Anton Stralman","T.B","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"217","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"292","Artem Anisimov","CHI","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"884","Artemi Panarin","CHI","L","27","1991-10-30","Korkino","","RUS","RUS","71","168","-","-","-","-","-"
"546","Austin Watson","NSH","L","26","1992-01-13","Ann Arbor","MI","USA","USA","76","204","2010","NSH","1","18","18"
"695","Barclay Goodrow","S.J","R","25","1993-02-26","Toronto","ON","CAN","CAN","74","215","-","-","-","-","-"
"37","Barret Jackman","NSH","D","37","1981-03-05","Trail","BC","CAN","CAN","72","203","1999","STL","1","17","17"
"541","Beau Bennett","PIT","R","27","1991-11-27","Gardena","CA","USA","USA","74","195","2010","PIT","1","20","20"
"496","Ben Chiarot","WPG","D","27","1991-05-09","Hamilton","ON","CAN","CAN","75","219","2009","ATL","4","29","120"
"790","Ben Harpur","OTT","D","23","1995-01-12","Hamilton","ON","CAN","CAN","78","222","2013","OTT","4","17","108"
"766","Ben Hutton","VAN","D","25","1993-04-20","Brockville","ON","CAN","CAN","74","206","2012","VAN","5","26","147"
"305","Ben Lovejoy","PIT","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"418","Ben Smith","S.J, TOR","R","30","1988-07-11","Winston-Salem","NC","USA","USA","71","203","2008","CHI","6","18","169"
"593","Ben Street","COL","C","31","1987-02-13","Coquitlam","BC","CAN","CAN","71","190","-","-","-","-","-"
"215","Benoit Pouliot","EDM","L","32","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"180","Blake Comeau","COL","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"621","Blake Pietila","N.J","L","25","1993-02-20","Milford","MI","USA","USA","71","200","2011","N.J","5","8","129"
"170","Blake Wheeler","WPG","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"815","Bo Horvat","VAN","C","23","1995-04-05","London","ON","CAN","CAN","72","215","2013","VAN","1","9","9"
"697","Bobby Farnham","N.J, PIT","R","29","1989-01-21","North Andover","MA","USA","USA","70","190","-","-","-","-","-"
"213","Bobby Ryan","OTT","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","209","2005","ANA","1","2","2"
"648","Boone Jenner","CBJ","C","25","1993-06-15","Dorchester","ON","CAN","CAN","74","206","2011","CBJ","2","7","37"
"844","Borna Rendulic","COL","R","26","1992-03-25","Zagreb","","HRV","HRV","74","200","-","-","-","-","-"
"100","Boyd Gordon","ARI","C","35","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"254","Bracken Kearns","NYI","C","37","1981-05-12","North Vancouver","BC","CAN","CAN","72","188","-","-","-","-","-"
"49","Brad Boyes","TOR","R","36","1982-04-17","Mississauga","ON","CAN","CAN","72","199","2000","TOR","1","24","24"
"699","Brad Hunt","EDM","D","30","1988-08-24","Maple Ridge","BC","CAN","CAN","69","187","-","-","-","-","-"
"335","Brad Malone","CAR","C","29","1989-05-20","Miramichi","NB","CAN","CAN","73","217","2007","COL","4","14","105"
"259","Brad Marchand","BOS","L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"27","Brad Richards","DET","C","38","1980-05-02","Murray Hbr.","PE","CAN","CAN","72","199","1998","T.B","3","6","64"
"152","Brad Richardson","ARI","C, R","33","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"22","Brad Stuart","COL","D","39","1979-11-06","Rocky Mountain House","AB","CAN","CAN","74","215","1998","S.J","1","3","3"
"716","Brady Skjei","NYR","D","24","1994-03-26","Lakeville","MN","USA","USA","75","214","2012","NYR","1","28","28"
"513","Brandon Bollig","CGY","L","31","1987-01-31","St. Charles","MO","USA","USA","74","220","-","-","-","-","-"
"584","Brandon Davidson","EDM","D","27","1991-08-21","Taber","AB","CAN","CAN","74","208","2010","EDM","6","12","162"
"183","Brandon Dubinsky","CBJ","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"539","Brandon Gormley","COL","D","26","1992-02-18","Murray River","PE","CAN","CAN","74","188","2010","PHX","1","13","13"
"506","Brandon Manning","PHI","D","28","1990-06-04","Prince George","BC","CAN","CAN","73","205","-","-","-","-","-"
"427","Brandon Mashinter","CHI","L","30","1988-09-20","Bradford","ON","CAN","CAN","76","212","-","-","-","-","-"
"473","Brandon Pirri","ANA, FLA","R","27","1991-04-10","Toronto","ON","CAN","CAN","72","186","2009","CHI","2","29","59"
"186","Brandon Prust","VAN","L","34","1984-03-16","London","ON","CAN","CAN","72","195","2004","CGY","3","5","70"
"652","Brandon Saad","CBJ","L","26","1992-10-27","Pittsburgh","PA","USA","USA","73","206","2011","CHI","2","13","43"
"337","Brandon Sutter","VAN","C","29","1989-02-14","Huntington","NY","USA","CAN","75","190","2007","CAR","1","11","11"
"898","Brandon Tanev","WPG","L","26","1991-12-31","Toronto","ON","CAN","CAN","72","180","-","-","-","-","-"
"465","Brayden McNabb","L.A","D","27","1991-01-21","Davidson","SK","CAN","CAN","76","212","2009","BUF","3","5","66"
"450","Brayden Schenn","PHI","C","27","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"123","Braydon Coburn","T.B","D","33","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"580","Brendan Gallagher","MTL","R","26","1992-05-06","Edmonton","AB","CAN","CAN","69","184","2010","MTL","5","27","147"
"715","Brendan Gaunce","VAN","C","24","1994-03-25","Sudbury","ON","CAN","CAN","74","217","2012","VAN","1","26","26"
"735","Brendan Leipsic","TOR","L","24","1994-05-19","Winnipeg","MB","CAN","CAN","70","179","2012","NSH","3","28","89"
"336","Brendan Smith","DET","D","29","1989-02-08","Mimico","ON","CAN","CAN","74","195","2007","DET","1","27","27"
"751","Brendan Woods","CAR","L","26","1992-06-11","Humboldt","SK","CAN","CAN","76","210","2012","CAR","5","8","129"
"507","Brenden Dillon","S.J","D","28","1990-11-13","New Westminster","BC","CAN","CAN","76","225","-","-","-","-","-"
"132","Brent Burns","S.J","D","33","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"412","Brent Regner","FLA","D","29","1989-05-17","Westlock","AB","CAN","CAN","71","189","2008","CBJ","5","16","137"
"127","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"537","Brett Bulmer","MIN","R","26","1992-04-26","Prince George","BC","CAN","CAN","76","212","2010","MIN","2","9","39"
"560","Brett Connolly","BOS","R","26","1992-05-02","Campbell River","BC","CAN","CAN","75","195","2010","T.B","1","6","6"
"757","Brett Kulak","CGY","D","24","1994-01-06","Edmonton","AB","CAN","CAN","74","187","2012","CGY","4","14","105"
"867","Brett Lernout","MTL","D","23","1995-09-24","Winnipeg","MB","CAN","CAN","76","214","2014","MTL","3","13","73"
"806","Brett Pesce","CAR","D","24","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"653","Brett Ritchie","DAL","R","25","1993-07-01","Orangeville","ON","CAN","CAN","75","220","2011","DAL","2","14","44"
"136","Brian Boyle","T.B","C","33","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"16","Brian Campbell","FLA","D","39","1979-05-23","Strathroy","ON","CAN","CAN","70","192","1997","BUF","6","22","156"
"475","Brian Dumoulin","PIT","D","27","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"703","Brian Flynn","MTL","C","30","1988-07-26","Lynnfield","MA","USA","USA","73","183","-","-","-","-","-"
"29","Brian Gionta","BUF","R","39","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"698","Brian O'Neill","N.J","R","30","1988-06-01","Yardley","PA","USA","USA","69","175","-","-","-","-","-"
"290","Brian Strait","NYI","D","30","1988-01-04","Waltham","MA","USA","USA","73","188","2006","PIT","3","2","65"
"749","Brock McGinn","CAR","L","24","1994-02-02","Fergus","ON","CAN","CAN","72","187","2012","CAR","2","17","47"
"534","Brock Nelson","NYI","C","27","1991-10-15","Warroad","MN","USA","USA","75","212","2010","NYI","1","30","30"
"592","Brody Sutter","CAR","C","27","1991-09-26","Viking","AB","CAN","CAN","77","203","2011","CAR","7","12","193"
"84","Brooks Laich","TOR, WSH","C","35","1983-06-23","Wawota","SK","CAN","CAN","74","200","2001","OTT","6","28","193"
"48","Brooks Orpik","WSH","D","38","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"179","Bryan Bickell","CHI","L","32","1986-03-09","Bowmanville","ON","CAN","CAN","76","223","2004","CHI","2","11","41"
"365","Bryan Lerg","S.J","C","32","1986-01-20","Livonia","MI","USA","USA","70","175","-","-","-","-","-"
"257","Bryan Little","WPG","C","31","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"571","Bryan Rust","PIT","R","26","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"262","Bud Holloway","MTL","C","30","1988-03-01","Wapella","SK","CAN","CAN","72","194","2006","L.A","3","23","86"
"771","Buddy Robinson","OTT","R","27","1991-09-30","Bellmawr","NJ","USA","USA","78","232","-","-","-","-","-"
"495","Byron Froese","TOR","C","27","1991-03-12","Winkler","MB","CAN","CAN","73","202","2009","CHI","4","28","119"
"275","Cal Clutterbuck","NYI","R","31","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"243","Cal O'Reilly","BUF","C","32","1986-09-30","Toronto","ON","CAN","CAN","72","188","2005","NSH","5","25","150"
"517","Calle Jarnkrok","NSH","C","27","1991-09-25","Gävle","","SWE","SWE","71","186","2010","DET","2","21","51"
"456","Calvin de Haan","NYI","D","27","1991-05-09","Carp","ON","CAN","CAN","73","195","2009","NYI","1","12","12"
"414","Cam Atkinson","CBJ","R","29","1989-06-05","Riverside","CT","USA","USA","68","179","2008","CBJ","6","6","157"
"544","Cam Fowler","ANA","D","27","1991-12-05","Windsor","ON","CAN","USA","73","206","2010","ANA","1","12","12"
"344","Carl Gunnarsson","STL","D","32","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"356","Carl Hagelin","ANA, PIT","L","30","1988-08-23","Sodertalje","","SWE","SWE","71","186","2007","NYR","6","17","168"
"181","Carl Soderberg","COL","C","33","1985-10-12","Malmö","","SWE","SWE","75","210","2004","STL","2","19","49"
"69","Carlo Colaiacovo","BUF","D","35","1983-01-27","Toronto","ON","CAN","CAN","73","202","2001","TOR","1","17","17"
"484","Casey Cizikas","NYI","C","27","1991-02-27","Toronto","ON","CAN","CAN","71","195","2009","NYI","4","1","92"
"897","Casey Nelson","BUF","D","26","1992-07-18","Wisconsin Rapids","WI","USA","USA","73","185","-","-","-","-","-"
"758","Cedric Paquette","T.B","C","25","1993-08-13","Gaspe","QC","CAN","CAN","73","198","2012","T.B","4","10","101"
"775","Chad Ruhwedel","BUF","D","28","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"738","Chandler Stephenson","WSH","C","24","1994-04-22","Saskatoon","SK","CAN","CAN","72","203","2012","WSH","3","16","77"
"752","Charles Hudon","MTL","L","24","1994-06-23","Alma","QC","CAN","CAN","70","196","2012","MTL","5","1","122"
"529","Charlie Coyle","MIN","C","26","1992-03-02","E. Weymouth","MA","USA","USA","75","220","2010","S.J","1","28","28"
"868","Chase De Leo","WPG","C","23","1995-10-25","La Mirada","CA","USA","USA","69","179","2014","WPG","4","9","99"
"798","Chris Bigras","COL","D","23","1995-02-22","Orillia","ON","CAN","CAN","73","191","2013","COL","2","2","32"
"442","Chris Brown","WSH","R","27","1991-02-03","Flower Mound","TX","USA","USA","74","188","2009","PHX","2","6","36"
"237","Chris Butler","STL","D","32","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"111","Chris Higgins","VAN","L","35","1983-06-02","Smithtown","NY","USA","USA","72","205","2002","MTL","1","14","14"
"39","Chris Kelly","BOS","C","38","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"462","Chris Kreider","NYR","L","27","1991-04-30","Boxford","MA","USA","USA","75","216","2009","NYR","1","19","19"
"118","Chris Kunitz","PIT","L","39","1979-09-26","Regina","SK","CAN","CAN","72","188","-","-","-","-","-"
"32","Chris Neil","OTT","R","39","1979-06-18","Flesherton","ON","CAN","CAN","73","209","1998","OTT","6","16","161"
"162","Chris Porter","MIN","L","34","1984-05-29","Toronto","ON","CAN","CAN","73","206","2003","CHI","9","21","282"
"273","Chris Stewart","ANA","R","31","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"297","Chris Summers","NYR","D","30","1988-02-05","Ann Arbor","MI","USA","USA","74","207","2006","PHX","1","29","29"
"327","Chris Terry","CAR","L","29","1989-04-07","Brampton","ON","CAN","CAN","70","191","2007","CAR","5","11","132"
"73","Chris Thorburn","WPG","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"744","Chris Tierney","S.J","C","24","1994-07-01","Keswick","ON","CAN","CAN","73","195","2012","S.J","2","25","55"
"238","Chris VandeVelde","PHI","C","31","1987-03-15","Moorhead","MN","USA","USA","74","190","2005","EDM","4","6","97"
"553","Chris Wagner","ANA, COL","C","27","1991-05-27","Walpole","MA","USA","USA","72","198","2010","ANA","5","2","122"
"483","Chris Wideman","OTT","D","28","1990-01-07","St. Louis","MO","USA","USA","70","183","2009","OTT","4","9","100"
"79","Christian Ehrhoff","CHI, L.A","D","36","1982-07-06","Moers","","DEU","DEU","74","201","2001","S.J","4","10","106"
"838","Christian Folin","MIN","D","27","1991-02-09","Gothenburg","","SWE","SWE","75","204","-","-","-","-","-"
"531","Christian Thomas","ARI, MTL","L","26","1992-05-26","Toronto","ON","CAN","CAN","69","175","2010","NYR","2","10","40"
"763","Christoph Bertschy","MIN","C","24","1994-04-05","Fribourg","","CHE","CHE","70","185","2012","MIN","6","7","158"
"515","Christopher Tanev","VAN","D","28","1989-12-20","Toronto","ON","CAN","CAN","74","197","-","-","-","-","-"
"146","Clarke MacArthur","OTT","L","33","1985-04-06","Lloydminster","AB","CAN","CAN","72","192","2003","BUF","3","6","74"
"277","Claude Giroux","PHI","C","30","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"164","Clayton Stoner","ANA","D","33","1985-02-19","Port McNeill","BC","CAN","CAN","76","216","2004","MIN","3","14","79"
"236","Cody Bass","NSH","C","31","1987-01-07","Owen sound","ON","CAN","CAN","72","205","2005","OTT","4","4","95"
"723","Cody Ceci","OTT","D","24","1993-12-21","Ottawa","ON","CAN","CAN","74","209","2012","OTT","1","15","15"
"487","Cody Eakin","DAL","C","27","1991-05-24","Winnipeg","MB","CAN","CAN","72","190","2009","WSH","3","24","85"
"234","Cody Franson","BUF","D","31","1987-08-08","Sicamous","BC","CAN","CAN","77","224","2005","NSH","3","18","79"
"387","Cody Goloubef","CBJ","D","29","1989-11-30","Mississauga","ON","CAN","CAN","73","200","2008","CBJ","2","7","37"
"374","Cody Hodgson","NSH","C","28","1990-02-18","Toronto","ON","CAN","CAN","72","191","2008","VAN","1","10","10"
"208","Cody McLeod","COL","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","204","-","-","-","-","-"
"696","Cole Schneider","BUF","L","28","1990-08-26","Williamsville","NY","USA","USA","73","199","-","-","-","-","-"
"247","Colin Greening","OTT, TOR","C","32","1986-03-09","St. John's","NL","CAN","CAN","74","210","2005","OTT","7","10","204"
"144","Colin McDonald","PHI","R","34","1984-09-30","Wethersfield","CT","USA","USA","74","219","2003","EDM","2","21","51"
"692","Colin Miller","BOS","D","26","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","196","2012","L.A","5","30","151"
"373","Colin Wilson","NSH","C, L","29","1989-10-20","Greenwich","CT","USA","USA","73","221","2008","NSH","1","7","7"
"734","Colton Parayko","STL","D","25","1993-05-12","St. Albert","AB","CAN","CAN","78","230","2012","STL","3","25","86"
"340","Colton Sceviour","DAL","C","29","1989-04-20","Red Deer","AB","CAN","CAN","72","192","2007","DAL","4","21","112"
"747","Colton Sissons","NSH","C","25","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"526","Connor Brickley","FLA","C","26","1992-02-25","Everett","MA","USA","USA","72","203","2010","FLA","2","20","50"
"765","Connor Brown","TOR","R","24","1994-01-14","Toronto","ON","CAN","CAN","72","183","2012","TOR","6","5","156"
"750","Connor Carrick","TOR, WSH","D","24","1994-04-13","Orland Park","IL","USA","USA","70","192","2012","WSH","5","16","137"
"876","Connor McDavid","EDM","C","21","1997-01-13","Richmond Hill","ON","CAN","CAN","73","193","2015","EDM","1","1","1"
"682","Connor Murphy","ARI","D","25","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"835","Conor Sheary","PIT","L","26","1992-06-08","Winchester","MA","USA","USA","68","176","-","-","-","-","-"
"492","Corban Knight","FLA","C","28","1990-09-10","Oliver","BC","CAN","CAN","74","195","2009","FLA","5","14","135"
"137","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","206","2003","ANA","1","28","28"
"147","Corey Potter","NSH","D","34","1984-01-05","Lansing","MI","USA","USA","75","204","2003","NYR","4","21","122"
"505","Craig Cunningham","ARI","L","28","1990-09-13","Trail","BC","CAN","CAN","70","184","2010","BOS","4","7","97"
"482","Craig Smith","NSH","R","29","1989-09-05","Madison","WI","USA","USA","73","208","2009","NSH","4","7","98"
"822","Curtis Lazar","OTT","C","23","1995-02-02","Salmon Arm","BC","CAN","CAN","72","205","2013","OTT","1","17","17"
"499","Curtis McKenzie","DAL","L","27","1991-02-22","Golden","BC","CAN","CAN","74","205","2009","DAL","6","8","159"
"6","Dainius Zubrus","S.J","C","40","1978-06-16","Elektrenai","","LTU","LTU","77","225","1996","PHI","1","15","15"
"405","Dale Weise","CHI, MTL","R","30","1988-08-05","Winnipeg","MB","CAN","CAN","74","206","2008","NYR","4","20","111"
"424","Dalton Prout","CBJ","D","28","1990-03-13","Kingsville","ON","CAN","CAN","75","215","2010","CBJ","6","4","154"
"746","Damon Severson","N.J","D","24","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"19","Dan Boyle","NYR","D","42","1976-07-12","Ottawa","ON","CAN","CAN","71","194","-","-","-","-","-"
"252","Dan Girardi","NYR","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"66","Dan Hamhuis","VAN","D","35","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"841","Daniel Carr","MTL","L","27","1991-11-01","Sherwood Park","AB","CAN","CAN","72","193","-","-","-","-","-"
"632","Daniel Catenacci","BUF","C","25","1993-03-09","Richmond Hill","ON","CAN","CAN","70","193","2011","BUF","3","16","77"
"109","Daniel Paille","NYR","L","34","1984-04-15","Welland","ON","CAN","CAN","73","188","2002","BUF","1","20","20"
