"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"720","Eric Tangradi","PIT","L","15","168","1","2","2","0","3","50.00","18","5.56","25","22","16","8","2","3","10","4","4","0","0","8","5","2","25","15","5","1","2","33.33"
"731","Brett MacLean","PHX","L","13","113.91666666667","2","1","0","1","3","50.00","16","12.50","30","22","21","7","0","1","2","1","1","0","0","1","1","1","8","17","0","1","1","50.00"
"739","Johan Harju","T.B","L","10","84.733333333333","1","2","2","0","3","75.00","14","7.14","22","18","15","5","1","2","2","1","1","0","0","1","1","0","9","6","2","2","3","40.00"
"774","Micheal Haley","NYI","C","27","216.73333333333","2","1","1","0","3","50.00","13","15.38","24","18","17","9","3","0","85","20","10","7","3","14","4","7","55","21","3","7","13","35.00"
"776","Jay Beagle","WSH","C","31","325.63333333333","2","1","0","1","3","42.86","27","7.41","53","35","30","17","1","2","8","4","4","0","0","8","1","10","45","20","8","58","47","55.24"
"782","Chris Mueller","NSH","C","15","129.55","0","3","2","1","3","75.00","7","0.00","12","10","6","3","0","0","2","1","1","0","0","3","1","6","19","11","0","43","46","48.31"
"806","Philip McRae","STL","C","15","135.55","1","2","1","1","3","150.00","13","7.69","25","17","12","3","1","1","2","1","1","0","0","2","3","0","8","11","5","34","30","53.13"
"866","Jeremy Morin","CHI","L","9","108.86666666667","2","1","1","0","3","37.50","13","15.38","23","19","12","5","3","1","9","3","2","1","0","2","3","3","12","6","2","0","0","-"
"4","Craig Conroy","CGY","C","18","167.43333333333","2","0","0","0","2","66.67","11","18.18","20","16","10","2","0","1","8","3","3","0","0","4","10","4","21","15","10","101","88","53.44"
"46","Jason Strudwick","EDM","D","43","647.51666666667","0","2","0","2","2","15.38","9","0.00","36","22","6","2","1","1","23","7","4","3","0","7","16","8","43","46","63","0","0","-"
"62","Peter Schaefer","VAN","L","16","154.81666666667","1","1","1","0","2","50.00","10","10.00","22","14","15","7","0","1","2","1","1","0","0","2","1","8","18","12","7","13","20","39.39"
"125","Todd White","NYR","C","18","138.21666666667","1","1","1","0","2","66.67","11","9.09","19","15","15","8","0","1","2","1","1","0","0","1","2","3","1","6","4","30","26","53.57"
"167","Trevor Gillies","NYI","L","39","119.68333333333","2","0","0","0","2","40.00","9","22.22","17","13","9","4","2","2","165","34","15","11","8","17","1","1","44","11","6","0","1","0.00"
"195","Alexandre Giroux","EDM","L","8","118.06666666667","1","1","0","1","2","50.00","13","7.69","25","17","18","11","1","4","2","1","1","0","0","5","1","1","16","10","3","0","2","0.00"
