"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"751","Anders Bjork","BOS","L","22","1996-08-05","Mequon","WI","USA","USA","72","190","2014","BOS","5","26","146"
"339","Anders Lee","NYI","L","28","1990-07-03","Edina","MN","USA","USA","75","231","2009","NYI","6","1","152"
"631","Andre Burakovsky","WSH","L","23","1995-02-09","Klagenfurt","","AUT","SWE","75","201","2013","WSH","1","23","23"
"575","Andreas Athanasiou","DET","L","24","1994-08-06","London","ON","CAN","CAN","74","188","2012","DET","4","19","110"
"881","Andreas Borgman","TOR","D","23","1995-06-18","Stockholm","","SWE","SWE","72","199","-","-","-","-","-"
"732","Andreas Englund","OTT","D","22","1996-01-21","Stockholm","","SWE","SWE","75","189","2014","OTT","2","10","40"
"608","Andreas Johnsson","TOR","L","24","1994-11-21","Gävle","","SWE","SWE","70","181","2013","TOR","7","21","202"
"809","Andreas Martinsen","CHI","L","28","1990-06-13","Bærum","","NOR","NOR","75","229","-","-","-","-","-"
"813","Andrei Mironov","COL","D","24","1994-07-29","Moscow","","RUS","RUS","75","194","2015","COL","4","10","101"
"104","Andrej Sekera","EDM","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"599","Andrej Sustr","T.B","D","28","1990-11-29","Plzen","","CZE","CZE","79","217","-","-","-","-","-"
"127","Andrew Cogliano","ANA","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"629","Andrew Copp","WPG","C","24","1994-07-08","Ann Arbor","MI","USA","USA","73","206","2013","WPG","4","13","104"
"418","Andrew Crescenzi","L.A","C","26","1992-07-29","Thornhill","ON","CAN","CAN","77","207","-","-","-","-","-"
"92","Andrew Ladd","NYI","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"181","Andrew MacDonald","PHI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"759","Andrew Mangiapane","CGY","L","22","1996-04-04","Toronto","ON","CAN","CAN","70","184","2015","CGY","6","15","166"
"446","Andrew Shaw","MTL","R","27","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"457","Andy Andreoff","L.A","L","27","1991-05-17","Pickering","ON","CAN","CAN","73","188","2011","L.A","3","19","80"
"151","Andy Greene","N.J","D","36","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"459","Andy Welinski","ANA","D","25","1993-04-27","Duluth","MN","USA","USA","73","201","2011","ANA","3","22","83"
"792","Anthony Beauvillier","NYI","C","21","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","182","2015","NYI","1","28","28"
"409","Anthony Bitetto","NSH","D","28","1990-07-15","Island Park","NY","USA","USA","73","210","2010","NSH","6","18","168"
"804","Anthony Cirelli","T.B","C","21","1997-07-15","Etobicoke","ON","CAN","CAN","72","180","2015","T.B","3","11","72"
"621","Anthony Duclair","ARI, CHI","L","23","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","191","2013","NYR","3","19","80"
"677","Anthony Mantha","DET","R","24","1994-09-16","Longueuil","QC","CAN","CAN","77","225","2013","DET","1","20","20"
"205","Anthony Peluso","WSH","R","29","1989-04-18","North York","ON","CAN","CAN","75","225","2007","STL","6","9","160"
"283","Antoine Roussel","DAL","L","29","1989-11-21","Roubaix","","FRA","FRA","71","199","-","-","-","-","-"
"24","Antoine Vermette","ANA","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"606","Anton Blidh","BOS","L","23","1995-03-14","Molnlycke","","SWE","SWE","72","201","2013","BOS","6","29","180"
"750","Anton Lindholm","COL","D","24","1994-11-29","Skellefteå","","SWE","SWE","71","191","2014","COL","5","24","144"
"623","Anton Slepyshev","EDM","L","24","1994-05-13","Penza","","RUS","RUS","74","221","2013","EDM","3","27","88"
"147","Anton Stralman","T.B","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"123","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"178","Artem Anisimov","CHI","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"808","Artemi Panarin","CBJ","L","27","1991-10-30","Korkino","","RUS","RUS","71","168","-","-","-","-","-"
"654","Artturi Lehkonen","MTL","L","23","1995-07-04","Piikkio","","FIN","FIN","72","177","2013","MTL","2","25","55"
"597","Ashton Sautner","VAN","D","24","1994-05-27","Flin Flon","MB","CAN","CAN","73","195","-","-","-","-","-"
"803","Austin Czarnik","BOS","C","25","1992-12-12","Detroit","MI","USA","USA","69","170","-","-","-","-","-"
"383","Austin Watson","NSH","L","26","1992-01-13","Ann Arbor","MI","USA","USA","76","204","2010","NSH","1","18","18"
"832","Auston Matthews","TOR","C","21","1997-09-17","San Ramon","CA","USA","USA","75","223","2016","TOR","1","1","1"
"514","Barclay Goodrow","S.J","R","25","1993-02-26","Toronto","ON","CAN","CAN","74","215","-","-","-","-","-"
"378","Beau Bennett","STL","R","27","1991-11-27","Gardena","CA","USA","USA","74","195","2010","PIT","1","20","20"
"336","Ben Chiarot","WPG","D","27","1991-05-09","Hamilton","ON","CAN","CAN","75","219","2009","ATL","4","29","120"
"630","Ben Harpur","OTT","D","23","1995-01-12","Hamilton","ON","CAN","CAN","78","222","2013","OTT","4","17","108"
"590","Ben Hutton","VAN","D","25","1993-04-20","Brockville","ON","CAN","CAN","74","206","2012","VAN","5","26","147"
"186","Ben Lovejoy","N.J","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"343","Ben Sexton","OTT","C","27","1991-06-06","Ottawa","ON","CAN","CAN","71","196","2009","BOS","7","25","206"
"122","Benoit Pouliot","BUF","L","32","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"453","Blake Coleman","N.J","C","27","1991-11-28","Plano","TX","USA","USA","71","200","2011","N.J","3","14","75"
"98","Blake Comeau","COL","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"857","Blake Hillman","CHI","D","22","1996-01-26","Elk River","MN","USA","USA","73","193","2016","CHI","6","22","173"
"443","Blake Pietila","N.J","L","25","1993-02-20","Milford","MI","USA","USA","71","200","2011","N.J","5","8","129"
"93","Blake Wheeler","WPG","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"667","Bo Horvat","VAN","C","23","1995-04-05","London","ON","CAN","CAN","72","215","2013","VAN","1","9","9"
"120","Bobby Ryan","OTT","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","209","2005","ANA","1","2","2"
"563","Boo Nieves","NYR","C","24","1994-01-23","Syracuse","NY","USA","USA","75","210","2012","NYR","2","29","59"
"471","Boone Jenner","CBJ","C","25","1993-06-15","Dorchester","ON","CAN","CAN","74","206","2011","CBJ","2","7","37"
"515","Brad Hunt","VGK","D","30","1988-08-24","Maple Ridge","BC","CAN","CAN","69","187","-","-","-","-","-"
"210","Brad Malone","EDM","C","29","1989-05-20","Miramichi","NB","CAN","CAN","73","217","2007","COL","4","14","105"
"154","Brad Marchand","BOS","L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"80","Brad Richardson","ARI","C","33","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"531","Brady Skjei","NYR","D","24","1994-03-26","Lakeville","MN","USA","USA","75","214","2012","NYR","1","28","28"
"783","Brandon Carlo","BOS","D","22","1996-11-26","Colorado Springs","CO","USA","USA","77","212","2015","BOS","2","7","37"
"410","Brandon Davidson","EDM, MTL, NYI","D","27","1991-08-21","Taber","AB","CAN","CAN","74","208","2010","EDM","6","12","162"
"101","Brandon Dubinsky","CBJ","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"346","Brandon Manning","PHI","D","28","1990-06-04","Prince George","BC","CAN","CAN","73","205","-","-","-","-","-"
"735","Brandon Montour","ANA","D","24","1994-04-11","Brantford","ON","CAN","CAN","72","193","2014","ANA","2","25","55"
"318","Brandon Pirri","VGK","C","27","1991-04-10","Toronto","ON","CAN","CAN","72","186","2009","CHI","2","29","59"
"474","Brandon Saad","CHI","L","26","1992-10-27","Pittsburgh","PA","USA","USA","73","206","2011","CHI","2","13","43"
"212","Brandon Sutter","VAN","C","29","1989-02-14","Huntington","NY","USA","CAN","75","190","2007","CAR","1","11","11"
"828","Brandon Tanev","WPG","L","26","1991-12-31","Toronto","ON","CAN","CAN","72","180","-","-","-","-","-"
"313","Brayden McNabb","VGK","D","27","1991-01-21","Davidson","SK","CAN","CAN","76","212","2009","BUF","3","5","66"
"741","Brayden Point","T.B","C","22","1996-03-13","Calgary","AB","CAN","CAN","70","166","2014","T.B","3","19","79"
"300","Brayden Schenn","STL","C","27","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"60","Braydon Coburn","T.B","D","33","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"406","Brendan Gallagher","MTL","R","26","1992-05-06","Edmonton","AB","CAN","CAN","69","184","2010","MTL","5","27","147"
"530","Brendan Gaunce","VAN","C","24","1994-03-25","Sudbury","ON","CAN","CAN","74","217","2012","VAN","1","26","26"
"777","Brendan Guhle","BUF","D","21","1997-07-29","Edmonton","AB","CAN","CAN","74","196","2015","BUF","2","21","51"
"552","Brendan Leipsic","VAN, VGK","L","24","1994-05-19","Winnipeg","MB","CAN","CAN","70","179","2012","NSH","3","28","89"
"729","Brendan Lemieux","WPG","L","22","1996-03-15","Denver","CO","USA","USA","73","210","2014","BUF","2","1","31"
"712","Brendan Perlini","ARI","L","22","1996-04-27","Guildford","","GBR","GBR","75","211","2014","ARI","1","12","12"
"211","Brendan Smith","NYR","D","29","1989-02-08","Mimico","ON","CAN","CAN","74","195","2007","DET","1","27","27"
"348","Brenden Dillon","S.J","D","28","1990-11-13","New Westminster","BC","CAN","CAN","76","225","-","-","-","-","-"
"69","Brent Burns","S.J","D","33","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"64","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"392","Brett Connolly","WSH","R","26","1992-05-02","Campbell River","BC","CAN","CAN","75","195","2010","T.B","1","6","6"
"577","Brett Kulak","CGY","D","24","1994-01-06","Edmonton","AB","CAN","CAN","74","187","2012","CGY","4","14","105"
"740","Brett Lernout","MTL","D","23","1995-09-24","Winnipeg","MB","CAN","CAN","76","214","2014","MTL","3","13","73"
"657","Brett Pesce","CAR","D","24","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"475","Brett Ritchie","DAL","R","25","1993-07-01","Orangeville","ON","CAN","CAN","75","220","2011","DAL","2","14","44"
"71","Brian Boyle","N.J","C","33","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"319","Brian Dumoulin","PIT","D","27","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"423","Brian Gibbons","N.J","L","30","1988-02-26","Braintree","MA","USA","USA","68","175","-","-","-","-","-"
"9","Brian Gionta","BOS","R","39","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"285","Brian Lashoff","DET","D","28","1990-07-16","Albany","NY","USA","USA","75","219","-","-","-","-","-"
"784","Brock Boeser","VAN","R","21","1997-02-25","Burnsville","MN","USA","USA","73","208","2015","VAN","1","23","23"
"568","Brock McGinn","CAR","L","24","1994-02-02","Fergus","ON","CAN","CAN","72","187","2012","CAR","2","17","47"
"374","Brock Nelson","NYI","C","27","1991-10-15","Warroad","MN","USA","USA","75","212","2010","NYI","1","30","30"
"41","Brooks Laich","L.A","C","35","1983-06-23","Wawota","SK","CAN","CAN","74","200","2001","OTT","6","28","193"
"21","Brooks Orpik","WSH","D","38","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"152","Bryan Little","WPG","C","31","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"400","Bryan Rust","PIT","R","26","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"335","Byron Froese","MTL","C","27","1991-03-12","Winkler","MB","CAN","CAN","73","202","2009","CHI","4","28","119"
"167","Cal Clutterbuck","NYI","R","31","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"145","Cal O'Reilly","MIN","C","32","1986-09-30","Toronto","ON","CAN","CAN","72","188","2005","NSH","5","25","150"
"354","Calle Jarnkrok","NSH","C","27","1991-09-25","Gävle","","SWE","SWE","71","186","2010","DET","2","21","51"
"880","Calle Rosen","TOR","D","24","1994-02-02","Vaxjo","","SWE","SWE","73","186","-","-","-","-","-"
"305","Calvin de Haan","NYI","D","27","1991-05-09","Carp","ON","CAN","CAN","73","195","2009","NYI","1","12","12"
"273","Cam Atkinson","CBJ","R","29","1989-06-05","Riverside","CT","USA","USA","68","179","2008","CBJ","6","6","157"
"381","Cam Fowler","ANA","D","27","1991-12-05","Windsor","ON","CAN","USA","73","206","2010","ANA","1","12","12"
"651","Carl Dahlstrom","CHI","D","23","1995-01-28","Stockholm","","SWE","SWE","76","231","2013","CHI","2","21","51"
"215","Carl Gunnarsson","STL","D","32","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"227","Carl Hagelin","PIT","L","30","1988-08-23","Sodertalje","","SWE","SWE","71","186","2007","NYR","6","17","168"
"99","Carl Soderberg","COL","C","33","1985-10-12","Malmö","","SWE","SWE","75","210","2004","STL","2","19","49"
"613","Carson Soucy","MIN","D","24","1994-07-27","Viking","AB","CAN","CAN","77","211","2013","MIN","5","16","137"
"603","Carter Rowney","PIT","R","29","1989-05-10","Grand Prairie","AB","CAN","CAN","74","206","-","-","-","-","-"
"327","Casey Cizikas","NYI","C","27","1991-02-27","Toronto","ON","CAN","CAN","71","195","2009","NYI","4","1","92"
"865","Casey Mittelstadt","BUF","C","20","1998-11-22","Edina","MN","USA","USA","73","202","2017","BUF","1","8","8"
"825","Casey Nelson","BUF","D","26","1992-07-18","Wisconsin Rapids","WI","USA","USA","73","185","-","-","-","-","-"
"579","Cedric Paquette","T.B","C","25","1993-08-13","Gaspe","QC","CAN","CAN","73","198","2012","T.B","4","10","101"
"604","Chad Ruhwedel","PIT","D","28","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"555","Chandler Stephenson","WSH","C","24","1994-04-22","Saskatoon","SK","CAN","CAN","72","203","2012","WSH","3","16","77"
"570","Charles Hudon","MTL","L","24","1994-06-23","Alma","QC","CAN","CAN","70","196","2012","MTL","5","1","122"
"369","Charlie Coyle","MIN","C","26","1992-03-02","E. Weymouth","MA","USA","USA","75","220","2010","S.J","1","28","28"
"833","Charlie McAvoy","BOS","D","20","1997-12-21","Long Beach","NY","USA","USA","72","208","2016","BOS","1","14","14"
"433","Chase Balisy","FLA","C","26","1992-02-02","Fullerton","CA","USA","USA","71","179","2011","NSH","6","19","170"
"639","Chris Bigras","COL","D","23","1995-02-22","Orillia","ON","CAN","CAN","73","191","2013","COL","2","2","32"
"139","Chris Butler","STL","D","32","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"12","Chris Kelly","ANA","C","38","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"310","Chris Kreider","NYR","L","27","1991-04-30","Boxford","MA","USA","USA","75","216","2009","NYR","1","19","19"
"56","Chris Kunitz","T.B","L","39","1979-09-26","Regina","SK","CAN","CAN","72","188","-","-","-","-","-"
"165","Chris Stewart","CGY, MIN","R","31","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"34","Chris Thorburn","STL","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"561","Chris Tierney","S.J","C","24","1994-07-01","Keswick","ON","CAN","CAN","73","195","2012","S.J","2","25","55"
"386","Chris Wagner","ANA, NYI","C, R","27","1991-05-27","Walpole","MA","USA","USA","72","198","2010","ANA","5","2","122"
"326","Chris Wideman","OTT","D","28","1990-01-07","St. Louis","MO","USA","USA","70","183","2009","OTT","4","9","100"
"593","Christian Djoos","WSH","D","24","1994-08-06","Gothenburg","","SWE","SWE","72","169","2012","WSH","7","14","195"
"737","Christian Dvorak","ARI","C","22","1996-02-02","Palos","IL","USA","USA","72","195","2014","ARI","2","28","58"
"780","Christian Fischer","ARI","R","21","1997-04-15","Chicago","IL","USA","USA","74","214","2015","ARI","2","2","32"
"692","Christian Folin","L.A","D","27","1991-02-09","Gothenburg","","SWE","SWE","75","204","-","-","-","-","-"
"817","Christian Jaros","OTT","D","22","1996-04-02","Kosice","","SVK","SVK","75","201","2015","OTT","5","18","139"
"815","Christian Wolanin","OTT","D","23","1995-03-17","Quebec City","QC","CAN","CAN","74","185","2015","OTT","4","16","107"
"586","Christoph Bertschy","MIN","C","24","1994-04-05","Fribourg","","CHE","CHE","70","185","2012","MIN","6","7","158"
"195","Christopher DiDomenico","OTT","L","29","1989-02-20","Toronto","ON","CAN","CAN","71","174","2007","TOR","6","13","164"
"352","Christopher Tanev","VAN","D","28","1989-12-20","Toronto","ON","CAN","CAN","74","197","-","-","-","-","-"
"169","Claude Giroux","PHI","C","30","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"836","Clayton Keller","ARI","C","20","1998-07-29","Chesterfield","MO","USA","USA","70","170","2016","ARI","1","7","7"
"540","Cody Ceci","OTT","D","24","1993-12-21","Ottawa","ON","CAN","CAN","74","209","2012","OTT","1","15","15"
"330","Cody Eakin","VGK","C","27","1991-05-24","Winnipeg","MB","CAN","CAN","72","190","2009","WSH","3","24","85"
"137","Cody Franson","CHI","D","31","1987-08-08","Sicamous","BC","CAN","CAN","77","224","2005","NSH","3","18","79"
"116","Cody McLeod","NSH, NYR","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","204","-","-","-","-","-"
"681","Colby Cave","BOS","C","23","1994-12-26","Battleford","SK","CAN","CAN","73","200","-","-","-","-","-"
"510","Colin Miller","VGK","D","26","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","196","2012","L.A","5","30","151"
"767","Colin White","OTT","C","21","1997-01-30","Boston","MA","USA","USA","72","183","2015","OTT","1","21","21"
"241","Colin Wilson","COL","C","29","1989-10-20","Greenwich","CT","USA","USA","73","221","2008","NSH","1","7","7"
"551","Colton Parayko","STL","D","25","1993-05-12","St. Albert","AB","CAN","CAN","78","230","2012","STL","3","25","86"
"213","Colton Sceviour","FLA","C","29","1989-04-20","Red Deer","AB","CAN","CAN","72","192","2007","DAL","4","21","112"
"566","Colton Sissons","NSH","C","25","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"365","Connor Brickley","FLA","C","26","1992-02-25","Everett","MA","USA","USA","72","203","2010","FLA","2","20","50"
"589","Connor Brown","TOR","R","24","1994-01-14","Toronto","ON","CAN","CAN","72","183","2012","TOR","6","5","156"
"569","Connor Carrick","TOR","D","24","1994-04-13","Orland Park","IL","USA","USA","70","192","2012","WSH","5","16","137"
"769","Connor McDavid","EDM","C","21","1997-01-13","Richmond Hill","ON","CAN","CAN","73","193","2015","EDM","1","1","1"
"503","Connor Murphy","CHI","D","25","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"689","Conor Sheary","PIT","L","26","1992-06-08","Winchester","MA","USA","USA","68","176","-","-","-","-","-"
"72","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","206","2003","ANA","1","28","28"
"422","Cory Conacher","T.B","C","28","1989-12-14","Burlington","ON","CAN","CAN","68","180","-","-","-","-","-"
"325","Craig Smith","NSH","R","29","1989-09-05","Madison","WI","USA","USA","73","208","2009","NSH","4","7","98"
"674","Curtis Lazar","CGY","C","23","1995-02-02","Salmon Arm","BC","CAN","CAN","72","205","2013","OTT","1","17","17"
"338","Curtis McKenzie","DAL","L","27","1991-02-22","Golden","BC","CAN","CAN","74","205","2009","DAL","6","8","159"
"684","Curtis Valk","FLA","C","25","1993-02-08","Medicine Hat","AB","CAN","CAN","69","170","-","-","-","-","-"
"682","Dakota Mermis","ARI","D","24","1994-01-05","Alton","IL","USA","USA","72","195","-","-","-","-","-"
"265","Dale Weise","PHI","R","30","1988-08-05","Winnipeg","MB","CAN","CAN","74","206","2008","NYR","4","20","111"
"281","Dalton Prout","N.J","D","28","1990-03-13","Kingsville","ON","CAN","CAN","75","215","2010","CBJ","6","4","154"
"564","Damon Severson","N.J","D","24","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"149","Dan Girardi","T.B","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"31","Dan Hamhuis","DAL","D","35","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"761","Danick Martel","PHI","L","23","1994-12-12","Drummondville","QC","CAN","CAN","68","162","-","-","-","-","-"
"890","Daniel Brickley","L.A","D","23","1995-03-30","SANDY","UT","USA","USA","75","203","-","-","-","-","-"
"694","Daniel Carr","MTL","L","27","1991-11-01","Sherwood Park","AB","CAN","CAN","72","193","-","-","-","-","-"
"455","Daniel Catenacci","NYR","C","25","1993-03-09","Richmond Hill","ON","CAN","CAN","70","193","2011","BUF","3","16","77"
"582","Daniel O'Regan","BUF, S.J","C","24","1994-01-30","Berlin","","DEU","USA","70","180","2012","S.J","5","17","138"
"10","Daniel Sedin","VAN","L","38","1980-09-26","Ornskoldsvik","","SWE","SWE","73","190","1999","VAN","1","2","2"
"793","Daniel Sprong","PIT","R","21","1997-03-17","Amsterdam","","NLD","NLD","72","180","2015","PIT","2","16","46"
"113","Daniel Winnik","MIN","L","33","1985-03-06","Toronto","ON","CAN","CAN","74","210","2004","PHX","9","7","265"
"601","Danny DeKeyser","DET","D","28","1990-03-07","Detroit","MI","USA","USA","75","192","-","-","-","-","-"
"746","Danton Heinen","BOS","C","23","1995-07-05","Langley","BC","CAN","CAN","73","188","2014","BOS","4","26","116"
"665","Darnell Nurse","EDM","D","23","1995-02-04","Hamilton","ON","CAN","CAN","76","221","2013","EDM","1","7","7"
"345","Darren Archibald","VAN","R","28","1990-02-09","Newmarket","ON","CAN","CAN","75","210","-","-","-","-","-"
"143","Darren Helm","DET","L","31","1987-01-21","St. Andrews","MB","CAN","CAN","72","196","2005","DET","5","7","132"
