"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"310","Jason Spezza","OTT","C","60","1143.7666666667","19.062777777778","64.79","50.46","56.21","48.1","37.82","55.98","35.2","27.54","56.10","4.2","2.52","62.50","30.9","25.02","55.25","13.38","10.23","56.67","1.94","1.42","57.81","23.36","19.72","54.22","1.47","0.84","63.64","42.81","30.16","58.67","1.67","0.53","75.86","11.92","90.86","1.028","13.17","12.38","6.29","32.68","67.65","25.02","19.62","14.22","63.77"
"774","John Scott","MIN","L","51","438.76666666667","8.6032679738562","51.01","50.46","50.27","37.33","39.25","48.75","26.39","28.17","48.37","2.19","2.73","44.44","22.84","22.7","50.15","8.89","7.93","52.85","1.37","1.23","52.63","18.6","19.69","48.57","0.55","1.64","25.00","34.17","34.76","49.57","0.59","0.4","60.00","8.29","90.29","0.986","7.52","14.08","5.88","72.48","56.12","15.59","18.19","13.4","53.77"
"328","Derek Roy","BUF","C","80","1550.7833333333","19.384791666667","61.25","50.45","54.83","47.01","40.12","53.95","34.01","29.21","53.79","3.29","2.28","59.03","29.56","22.4","56.89","12.96","10.33","55.65","1.86","1.16","61.54","22.13","16.1","57.89","0.83","0.77","51.61","40.18","34.65","53.70","1.12","0.67","62.50","9.67","92.19","1.019","11.76","10.56","10.06","38.96","53.90","21.98","16.87","16.64","56.91"
"457","Eric Fehr","WSH","C","69","836.83333333333","12.128019323671","63.67","50.4","55.81","47.03","37.43","55.69","33.41","25.74","56.48","4.09","1.94","67.86","32.19","25.02","56.27","13.98","9.61","59.27","2.65","1.15","69.81","24.28","20.55","54.16","1.43","0.86","62.50","39.35","32","55.15","0.52","0.21","71.43","12.23","92.48","1.047","11.4","15.49","6.45","38.86","63.86","21.87","25.45","15.42","58.65"
"163","Mike Mottau","N.J","D","79","1758.6666666667","22.261603375527","45.58","50.39","47.49","35.34","38.38","47.94","27.33","28.15","49.26","2.18","2.59","45.71","21.97","22.86","49.01","9.35","9.04","50.83","1.19","1.23","49.30","16.83","18.42","47.74","0.68","1.05","39.47","29.22","34.84","45.62","0.64","0.84","43.33","7.99","90.79","0.988","6.18","12.86","10.61","53.73","36.79","12.79","20.2","20.13","38.86"
"571","Alex Goligoski","PIT","D","69","1478.2666666667","21.424154589372","66.04","50.37","56.73","49.64","37.14","57.20","36.2","25.77","58.42","3.53","2.44","59.18","31.82","23.99","57.02","13.03","9.05","59.01","2.07","1.22","62.96","25.06","19.92","55.72","0.81","0.81","50.00","44.26","32.01","58.03","1.23","0.82","60.00","9.75","90.55","1.003","11.81","11","7.1","35.19","62.45","23.14","18.79","14.81","60.96"
"484","Colin Fraser","CHI","C","70","671.98333333333","9.5997619047619","48.3","50.36","48.96","37.41","34.91","51.73","28.13","24.55","53.39","2.32","2.95","44.07","24.29","24.82","49.45","9.55","9.55","50.00","1.61","1.7","48.65","19.64","20.36","49.11","0.6","0.95","38.46","30.44","32.76","48.16","0.39","0.64","37.50","8.25","88.00","0.963","9.2","10.09","14.38","59.91","39.02","13.93","15.89","22.14","38.61"
"554","Wojtek Wolski","COL, PHX","L","80","1498.95","18.736875","61.48","50.28","55.01","46.71","37.43","55.52","35.06","26.82","56.66","3.76","2.08","64.38","32.06","22.46","58.81","13.73","8.81","60.92","2.36","1.2","66.29","24.44","18.2","57.32","1.33","0.59","69.44","35.73","33.71","51.46","0.52","0.58","47.37","10.73","92.24","1.030","11.17","12.49","6.88","41.59","61.86","20.85","17.85","14.29","59.34"
"375","Matt Ellis","BUF","L","72","651.63333333333","9.050462962963","53.68","50.27","51.64","42.26","39.13","51.92","31.03","28.45","52.17","1.84","1.84","50.00","24.03","21.64","52.62","10.77","8.75","55.19","1.29","0.74","63.64","17.68","17.19","50.70","0.25","0.98","20.00","38.17","35.91","51.53","0.53","0.53","50.00","5.93","93.53","0.995","10.04","15.75","10.68","49.63","48.44","15.65","21.45","17.68","46.96"
"426","Erik Christensen","ANA, NYR","C","58","861.01666666667","14.845114942529","55.47","50.24","52.47","41.95","39.86","51.28","29.69","28.08","51.39","2.65","1.53","63.33","30.73","26.9","53.33","13.1","10.45","55.62","1.95","0.7","73.68","23.51","21.93","51.74","0.74","0.65","53.33","32.01","30.1","51.54","0.2","0.5","28.57","8.92","94.54","1.035","12.54","14.15","5.02","36.31","71.43","22.51","22.3","14.08","61.52"
"178","Alex Tanguay","T.B","L","80","1263.0833333333","15.788541666667","55.77","50.21","52.62","42.18","39","51.96","30.59","28.93","51.40","2.95","2.52","53.91","26.36","25.27","51.06","10.83","10.74","50.22","1.62","1.52","51.52","20.71","19.38","51.66","1.14","0.95","54.55","37.26","30.12","55.30","0.69","0.34","66.67","9.63","91.30","1.009","11.83","13.06","7.32","46.79","61.79","20.14","19.76","13.02","60.74"
"559","Mike Green","WSH","D","75","1911.2","25.482666666667","73.27","50.17","59.36","52.71","38.71","57.66","37.01","28.03","56.90","5.05","2.54","66.53","37.01","25.08","59.61","14.13","9.79","59.06","2.61","1.19","68.60","30.51","20.39","59.95","1.84","1","64.71","45.03","31.02","59.21","1.41","0.86","62.00","13.66","90.93","1.046","8.38","8.76","5.84","34.25","58.94","24.3","18.55","13.81","63.76"
