"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"408","Thomas Hickey","NYI","D","81","1533.0666666667","18.926748971193","0.08","0.78","0.39","0.39","0.86","38.60","3.21","2.44","7.08","4.46","2.39","0.59","0.16","0.2","1.02","0.51","0.51","0","0","0.47","2.15","1.53","4.58","7.51","5.32","0.04","0.04","1.96"
"556","John Moore","ARI, NYR","D","57","929.48333333333","16.306725146199","0.13","0.58","0.19","0.39","0.71","32.35","4.97","2.60","11.68","7.49","3.16","0.71","0","0.58","1.94","0.52","0.32","0.13","0.06","0.39","1.48","0.45","4.97","6.26","3.36","0","0","-"
"725","Andy Andreoff","L.A","L","18","154.23333333333","8.5685185185185","0.78","0.39","0","0.39","1.17","100.00","5.45","14.29","10.89","9.34","5.84","2.33","0","0","7","2.33","1.56","0.78","0","0.78","1.56","2.72","12.84","7","0","12.45","11.28","20.41"
"35","David Legwand","OTT","C","80","1111.75","13.896875","0.49","0.97","0.59","0.38","1.46","56.25","4.91","9.89","8.74","6.42","4.59","2.54","0.27","0.65","1.73","0.86","0.86","0","0","0.43","1.35","1.62","2.32","4.05","1.35","24.34","27.9","2.51"
"231","Kyle Chipchura","ARI","C","70","937.98333333333","13.399761904762","0.26","0.64","0.26","0.38","0.9","87.50","5.18","4.94","8.19","6.4","5.05","2.24","0.26","0.38","5.25","1.54","0.96","0.51","0.06","1.34","1.41","2.62","8.32","8.83","1.86","30.26","28.34","3.30"
"387","Karl Alzner","WSH","D","82","1593.45","19.432317073171","0.19","0.6","0.23","0.38","0.79","38.18","2.71","6.94","6.4","4.07","1.66","0.15","0.19","0.23","0.75","0.38","0.38","0","0","0.26","1.32","0.56","4.52","6.55","6.21","0","0","-"
"434","Alec Martinez","L.A","D","56","1115.4","19.917857142857","0.32","0.86","0.48","0.38","1.18","44.00","5.54","5.83","12.48","8.12","3.23","0.65","0.11","0.86","0.54","0.27","0.27","0","0","0.54","2.04","0.59","5.11","5.49","6.29","0","0","-"
"436","Carl Hagelin","NYR","L","82","1249.0166666667","15.231910569106","0.82","0.86","0.48","0.38","1.68","63.64","8.89","9.19","15.23","12.25","7.78","3.89","0.34","0.67","2.21","1.06","1.06","0","0","0.91","2.07","2.45","4.08","4.66","1.73","0.29","0.53","1.70"
"519","Tyler Bozak","TOR","C","82","1570.1","19.14756097561","0.88","0.99","0.61","0.38","1.87","58.33","5.88","14.94","9.44","7.83","7.11","3.71","0.19","0.31","1.68","0.53","0.46","0","0.08","0.76","0.88","2.6","3.17","3.82","1.76","36.07","31.76","2.03"
"522","Tim Erixon","CBJ, CHI, TOR","D","42","639.13333333333","15.21746031746","0.19","0.47","0.09","0.38","0.66","30.43","3.38","5.56","8.36","4.88","1.6","0.09","0","0.28","1.31","0.66","0.66","0","0","0.19","0.94","0.75","3.19","5.44","3","0","0","-"
"547","Ryan Ellis","NSH","D","58","1100.95","18.981896551724","0.49","0.98","0.6","0.38","1.47","50.00","6.43","7.63","11.55","8.61","1.91","0.54","0.22","0.54","1.47","0.44","0.33","0.05","0.05","0.71","1.47","1.14","2.23","4.74","4.03","0","0","-"
"553","David Rundblad","CHI","D","49","627.16666666667","12.799319727891","0.29","1.05","0.67","0.38","1.34","40.00","5.55","5.17","13.11","8.04","2.68","0","0.19","0.48","1.15","0.48","0.48","0","0","0.38","2.77","0.96","2.2","8.9","3.64","0","0","-"
"594","Brandon Kozun","TOR","R","20","158.21666666667","7.9108333333333","0.76","0.76","0.38","0.38","1.52","66.67","3.03","25.00","6.07","3.03","3.41","0.76","0.38","0.38","2.28","1.14","1.14","0","0","0.76","1.52","2.65","7.96","11.38","1.52","0.38","0.38","18.96"
"597","Anders Lee","NYI","L","76","1093.8833333333","14.393201754386","1.37","0.88","0.49","0.38","2.25","59.42","10.81","12.69","16.62","14.37","11.96","7.79","0.82","0.99","1.81","0.82","0.77","0.05","0","0.66","1.26","1.26","9.27","7.73","1.59","0.05","0","5.49"
"616","Calle Jarnkrok","NSH","C","74","950.85","12.849324324324","0.44","0.69","0.32","0.38","1.14","56.25","5.99","7.37","11.23","8.52","6.88","2.46","0.5","0.57","1.14","0.57","0.57","0","0","1.01","0.63","1.14","2.02","5.05","1.33","18.68","21.77","2.91"
"661","Jarred Tinordi","MTL","D","13","156.86666666667","12.066666666667","0","0.76","0.38","0.38","0.76","100.00","1.91","0.00","6.12","3.82","1.15","0.38","0","0.38","7.27","1.91","0.76","1.15","0","1.53","1.53","0.38","7.65","9.94","6.88","0","0","-"
