,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHL,ESPN,DURABILITE,NHL,ESPN,PRODUCTION,,,,,,CONST/EVOL,,,,,,,GP,PTS,"PTS
/GP","$
/PTS",,,,TOT
,Binnington Jordan,STL,,23,,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0 ,,,,,0.00,,,#DIV/0!,,"60,000",18,,1,0.0,2,0,2,2,,7.0
,Hellberg Magnus,,,25,,,,,1,2,,,,,0,1,,,,,0,0,,,,,0,0,,,,,0,2,,,,,,0 ,,,,,0.00,1.00,0,#DIV/0!,,,,,1,0.2,6,0,2,2,,11.2
,Bunz Tyler,,,25,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,0 ,,,,,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Clemmensen Scott,,,40,,,,3,,,,,,0,,,,,,1,,,,,,0,,,,,,1,,,,,,,,0 ,,,,0.33,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Curry John,,,33,,,,2,,,,,,0,,,,,,1,,,,,,0,,,,,,1,,,,,,,,0 ,,,,0.50,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Danis Yann,,,35,,,,,2,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0 ,,,,,0.00,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Hackett Matt,,,27,,,,5,,,,,,0,,,,,,1,,,,,,0,,,,,,1,,,,,,,,0 ,,,,0.20,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Mackenzie Skapski,,,23,,,,2,,,,,,2,,,10,5,10,0,,,8,5,3,1,,,,,,5,,,,,,,,0 ,,,,2.50,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Makarov Andrei,,,24,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,0 ,,,,,,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
,Ortio Joni,,,26,,,,6,22,,,,,4,7,,,,,0,5,,,,,1,1,,,,,9,20,,,,,,,0 ,,,,1.50,0.91,,,#DIV/0!,,,,,1,0.0,2,0,2,2,,7.0
