Scott Cullen's (@tsnscottcullen) 2018-2019 Fantasy Hockey Projections,,,,,,,,,,,,,sheet by @rhysalbrecht
Change these values to your league scoring ,,,,3.5,2.5,0,0,0,0,0,0,0.2,
PLAYER,TEAM,POS,GP,G,A,PTS,+/-,PPP,PIM,HITS,BLOCKS,SOG,FP
Patric Hornqvist,Pittsburgh,RW,73,25,25,50,8,19,44,166,61,244,198.8
Sam Reinhart,Buffalo,RW,81,23,32,55,-6,20,18,38,40,191,198.7
Jake Guentzel,Pittsburgh,LW,80,25,31,56,2,10,36,142,43,168,198.6
Roman Josi,Nashville,D,76,14,41,55,11,20,26,68,136,231,197.7
Mika Zibanejad,N.Y. Rangers,C,77,25,27,52,-9,17,20,92,57,212,197.4
Alex Galchenyuk,Arizona,C,77,23,31,54,-13,20,22,43,38,195,197.0
Jordan Eberle,N.Y. Islanders,RW,79,24,30,54,-5,11,18,37,30,187,196.4
Matthew Tkachuk,Calgary,LW,74,21,34,55,8,17,93,81,21,189,196.3
Gabriel Landeskog,Colorado,LW,76,23,32,55,1,15,53,146,52,176,195.7
Kyle Connor,Winnipeg,LW,77,26,27,53,2,10,18,18,29,184,195.3
Shayne Gostisbehere,Philadelphia,D,77,13,43,56,2,28,28,46,101,207,194.4
Seth Jones,Columbus,D,77,14,41,55,6,18,28,88,129,214,194.3
Mats Zuccarello,N.Y. Rangers,RW,80,18,38,56,-1,16,32,75,64,177,193.4
Derek Stepan,Arizona,C,79,17,37,54,2,17,22,42,48,205,193.0
Corey Perry,Anaheim,RW,77,22,31,53,-2,16,71,78,35,192,192.9
Kyle Palmieri,New Jersey,RW,74,26,25,51,1,22,36,110,47,194,192.3
Jaden Schwartz,St. Louis,LW,67,22,33,55,15,11,22,57,37,155,190.5
Ryan Johansen,Nashville,C,80,15,43,58,8,19,69,92,32,149,189.8
Dustin Brown,Los Angeles,RW,81,21,28,49,10,10,44,211,30,222,187.9
Kyle Turris,Nashville,C,77,21,33,54,8,18,34,20,45,158,187.6
James Neal,Calgary,RW,73,26,21,47,3,11,37,69,27,219,187.3
Drew Doughty,Los Angeles,D,82,12,42,54,16,21,52,127,121,197,186.4
Dougie Hamilton,Carolina,D,81,15,34,49,1,14,62,82,94,244,186.3
J.T. Miller,Tampa Bay,LW,82,21,34,55,5,12,38,131,39,138,186.1
John Carlson,Washington,D,74,12,42,54,6,24,22,50,133,195,186.0
Wayne Simmonds,Philadelphia,RW,78,25,23,48,-9,16,97,153,53,202,185.4
Torey Krug,Boston,D,78,10,43,53,-1,23,36,70,81,212,184.9
P.K. Subban,Nashville,D,75,13,41,54,8,23,71,101,91,183,184.6
Ondrej Kase,Anaheim,RW,78,22,26,48,9,5,31,66,38,210,184.0
Nino Niederreiter,Minnesota,RW,79,23,27,50,15,12,44,107,22,179,183.8
Kris Letang,Pittsburgh,D,68,10,43,53,-2,21,53,106,102,196,181.7
Patrick Marleau,Toronto,LW,82,26,20,46,-4,14,18,79,30,203,181.6
Jonathan Drouin,Montreal,C,78,16,37,53,-11,21,32,67,23,164,181.3
Brandon Saad,Chicago,LW,81,23,22,45,2,4,12,32,29,229,181.3
Tyler Toffoli,Los Angeles,RW,77,24,23,47,11,11,18,68,15,197,180.9
Brendan Gallagher,Montreal,RW,70,23,24,47,-2,12,34,73,31,200,180.5
Justin Williams,Carolina,RW,81,19,30,49,3,11,50,54,42,191,179.7
Mikael Backlund,Calgary,C,82,18,31,49,-5,12,56,58,43,195,179.5
Kyle Okposo,Buffalo,RW,74,18,32,50,-9,22,38,71,33,170,177.0
Keith Yandle,Florida,D,82,7,46,53,1,20,40,32,91,181,175.7
Alex Pietrangelo,St. Louis,D,78,13,36,49,6,13,22,46,155,199,175.3
David Perron,St. Louis,RW,73,15,38,53,-1,15,54,116,24,137,174.9
Adam Henrique,Anaheim,C,81,25,23,48,3,12,26,69,62,148,174.6
Anthony Mantha,Detroit,RW,75,23,23,46,1,9,57,74,38,181,174.2
Reilly Smith,Vegas,RW,74,21,27,48,11,11,24,60,31,165,174.0
Dustin Byfuglien,Winnipeg,D,75,12,36,48,8,18,110,169,103,210,174.0
T.J. Oshie,Washington,RW,74,22,27,49,9,17,33,119,55,146,173.7
Thomas Vanek,Detroit,LW,76,20,29,49,-5,14,28,30,14,154,173.3
Jakob Silfverberg,Anaheim,RW,79,20,25,45,7,7,22,60,57,204,173.3
Bo Horvat,Vancouver,C,75,21,26,47,-9,12,18,55,41,171,172.7
Ryan Donato,Boston,LW,77,26,20,46,7,10,14,39,20,156,172.2
Josh Bailey,N.Y. Islanders,RW,78,15,36,51,-8,18,16,27,36,145,171.5
Mikko Koivu,Minnesota,C,81,16,34,50,8,17,40,42,55,151,171.2
Chris Kreider,N.Y. Rangers,LW,75,22,24,46,3,12,56,142,31,170,171.0
Tyson Barrie,Colorado,D,72,12,38,50,-10,23,24,37,79,169,170.8
Jake DeBrusk,Boston,LW,75,19,28,47,11,11,22,82,31,169,170.3
Kevin Fiala,Nashville,LW,77,20,25,45,11,8,26,47,25,187,169.9
Joe Thornton,San Jose,C,70,14,41,55,4,21,44,41,24,88,169.1
Craig Smith,Nashville,RW,80,21,22,43,7,9,30,74,26,203,169.1
Travis Konecny,Philadelphia,RW,76,21,24,45,8,3,53,108,46,177,168.9
Jordan Staal,Carolina,C,79,19,28,47,-1,11,30,167,31,158,168.1
Yanni Gourde,Tampa Bay,RW,78,21,27,48,12,9,46,52,35,135,168.0
Tomas Hertl,San Jose,C,75,21,23,44,2,8,34,91,67,182,167.4
Tyler Johnson,Tampa Bay,RW,75,19,27,46,2,14,24,47,37,167,167.4
Elias Lindholm,Calgary,RW,79,15,33,48,-6,11,18,102,42,158,166.6
Gustav Nyquist,Detroit,RW,81,18,26,44,-2,10,24,62,29,193,166.6
Zach Parise,Minnesota,LW,67,22,20,42,-1,10,26,48,55,197,166.4
Oliver Ekman-Larsson,Arizona,D,79,15,30,45,-12,19,58,147,78,194,166.3
Nick Schmaltz,Chicago,RW,77,16,35,51,7,9,16,20,39,113,166.1
Zach Werenski,Columbus,D,78,14,30,44,13,16,16,52,95,207,165.4
Derick Brassard,Pittsburgh,C,76,19,25,44,6,9,28,91,23,180,165.0
Paul Stastny,Vegas,C,74,15,34,49,2,20,26,43,38,134,164.3
Pavel Buchnevich,N.Y. Rangers,RW,77,16,31,47,2,15,24,50,32,153,164.1
David Krejci,Boston,C,71,18,30,48,3,14,22,34,43,129,163.8
Mark Giordano,Calgary,D,81,14,30,44,8,13,60,82,175,198,163.6
Eeli Tolvanen,Nashville,LW,77,23,21,44,7,6,22,60,25,150,163.0
Andrei Svechnikov,Carolina,RW,75,22,19,41,5,8,53,60,25,190,162.5
Conor Sheary,Buffalo,LW,74,22,21,43,5,7,18,34,28,161,161.7
Kevin Hayes,N.Y. Rangers,C,77,20,23,43,4,7,22,48,33,164,160.3
Alexander Steen,St. Louis,LW,74,15,31,46,-5,15,34,46,52,149,159.8
Ryan Suter,Minnesota,D,80,7,41,48,10,20,34,74,129,160,159.0
Henrik Borgstrom,Florida,C,75,20,26,46,3,8,26,30,30,115,158.0
Mikhail Sergachev,Tampa Bay,D,80,10,35,45,9,19,46,110,77,171,156.7
Nick Bjugstad,Florida,RW,71,16,24,40,-4,8,39,93,20,194,154.8
Max Domi,Montreal,LW,76,13,32,45,-6,11,65,40,25,141,153.7
Bryan Little,Winnipeg,C,70,18,26,44,-4,12,22,46,28,126,153.2
Milan Lucic,Edmonton,LW,81,16,27,43,-1,12,73,238,23,148,153.1
Morgan Rielly,Toronto,D,78,7,37,44,-4,17,20,50,103,176,152.2
Tanner Pearson,Los Angeles,LW,81,17,23,40,9,5,22,115,35,171,151.2
Andreas Athanasiou,Detroit,C,74,21,17,38,-8,4,26,33,31,175,151.0
Justin Faulk,Carolina,D,73,12,27,39,-13,17,38,121,83,207,150.9
Alex Killorn,Tampa Bay,LW,81,16,25,41,10,8,50,85,24,161,150.7
Josh Anderson,Columbus,RW,79,21,15,36,5,2,79,160,41,198,150.6
Charlie Coyle,Minnesota,RW,76,15,28,43,7,5,22,96,62,136,149.7
David Backes,Boston,RW,74,18,22,40,3,8,63,174,38,157,149.4
Boone Jenner,Columbus,LW,78,18,18,36,0,5,52,209,79,203,148.6
Matt Dumba,Minnesota,D,80,13,27,40,8,13,49,124,97,175,148.0
Timo Meier,San Jose,RW,80,18,17,35,2,4,44,121,39,211,147.7
Erik Haula,Vegas,LW,75,19,20,39,-2,9,34,71,47,155,147.5
Martin Necas,Carolina,C,78,17,23,40,-5,8,20,30,20,152,147.4
Artem Anisimov,Chicago,C,71,21,19,40,-4,10,22,25,37,132,147.4
Nick Foligno,Columbus,LW,74,17,23,40,-4,10,52,168,54,152,147.4
Valentin Zykov,Carolina,LW,75,21,18,39,6,7,16,24,11,142,146.9
Duncan Keith,Chicago,D,78,5,38,43,-3,13,24,30,138,172,146.9
Ryan Spooner,N.Y. Rangers,LW,69,13,30,43,-2,12,14,52,17,131,146.7
Robby Fabbri,St. Louis,RW,72,17,24,41,-6,10,32,69,15,136,146.7
Ondrej Palat,Tampa Bay,LW,68,14,28,42,12,11,20,113,55,136,146.2
Alex Tuch,Vegas,RW,77,16,23,39,-2,9,24,95,44,161,145.7
Rasmus Ristolainen,Buffalo,D,77,7,34,41,-12,22,44,180,125,181,145.7
Tyler Bozak,St. Louis,C,74,14,28,42,-1,10,26,41,26,133,145.6
Danton Heinen,Boston,RW,77,15,27,42,5,10,16,46,31,128,145.6
Jake Gardiner,Toronto,D,81,7,38,45,6,14,34,65,89,129,145.3
Ivan Provorov,Philadelphia,D,82,12,26,38,5,5,28,135,176,191,145.2
Tomas Tatar,Montreal,LW,82,20,17,37,-6,12,30,71,24,161,144.7
Nick Leddy,N.Y. Islanders,D,81,9,34,43,-14,16,20,88,101,141,144.7
Charles Hudon,Montreal,LW,74,14,24,38,-6,7,38,139,37,178,144.6
Jason Pominville,Buffalo,RW,79,14,24,38,-5,7,8,38,35,175,144.0
Ryan Ellis,Nashville,D,71,13,27,40,16,8,20,52,123,155,144.0
Kevin Shattenkirk,N.Y. Rangers,D,67,10,32,42,-12,20,50,72,93,145,144.0
Mathieu Perreault,Winnipeg,LW,69,14,27,41,-4,14,36,105,27,136,143.7
Vladislav Namestnikov,N.Y. Rangers,LW,79,17,23,40,6,10,42,71,38,133,143.6
Victor Rask,Carolina,C,76,16,23,39,-4,12,16,50,31,150,143.5
Mikkel Boedker,Ottawa,RW,77,15,25,40,-8,10,12,54,30,140,143.0
Loui Eriksson,Vancouver,RW,74,17,21,38,2,7,10,15,45,154,142.8
Jake Muzzin,Los Angeles,D,78,8,32,40,2,13,48,175,126,174,142.8
Brock Nelson,N.Y. Islanders,C,81,20,16,36,-4,7,38,54,53,159,141.8
Richard Panik,Arizona,RW,77,17,21,38,5,7,48,142,41,146,141.2
Casey Mittelstadt,Buffalo,C,77,11,31,42,3,8,24,28,28,125,141.0
Frans Nielsen,Detroit,C,79,16,22,38,-9,9,16,57,58,148,140.6
Colton Parayko,St. Louis,D,81,7,30,37,5,9,22,111,136,204,140.3
Marcus Johansson,New Jersey,LW,68,16,25,41,-2,12,20,25,21,108,140.1
Ryan Dzingel,Ottawa,LW,80,19,19,38,-5,6,32,66,20,130,140.0
Aaron Ekblad,Florida,D,78,14,20,34,-1,10,62,81,105,205,140.0
Jack Roslovic,Winnipeg,C,77,15,25,40,4,6,6,58,29,124,139.8
Nolan Patrick,Philadelphia,C,75,16,21,37,2,9,34,50,23,155,139.5
Jason Spezza,Dallas,C,75,15,23,38,-9,16,20,13,24,146,139.2
Christian Fischer,Arizona,RW,78,17,19,36,-10,8,14,114,22,159,138.8
Will Butcher,New Jersey,D,80,6,39,45,-1,24,14,23,70,98,138.1
Kevin Labanc,San Jose,RW,78,13,26,39,2,9,32,30,22,136,137.7
Shea Theodore,Vegas,D,78,9,28,37,4,11,34,37,94,178,137.1
Kyler Yamamoto,Edmonton,RW,75,11,24,35,2,6,18,52,25,187,135.9
Anthony Beauvillier,N.Y. Islanders,LW,75,18,18,36,2,5,14,94,33,139,135.8
Oliver Bjorkstrand,Columbus,RW,74,13,24,37,5,6,10,52,34,146,134.7
Jean-Gabriel Pageau,Ottawa,C,80,15,20,35,1,2,32,156,75,159,134.3
Dylan Sikura,Chicago,RW,75,12,26,38,-5,5,24,40,30,135,134.0
Ryan Pulock,N.Y. Islanders,D,76,11,23,34,-2,10,18,120,93,190,134.0
Andreas Johnsson,Toronto,LW,75,18,16,34,-4,5,38,40,35,152,133.4
Christian Dvorak,Arizona,C,78,16,21,37,-6,6,24,85,54,124,133.3
Gabe Vilardi,Los Angeles,C,70,13,25,38,5,4,20,40,25,125,133.0
Andrew Cogliano,Anaheim,LW,82,12,23,35,9,0,34,90,29,165,132.5
Jeff Petry,Montreal,D,75,9,27,36,-11,15,24,154,129,163,131.6
Artturi Lehkonen,Montreal,LW,75,17,15,32,-6,5,14,77,26,171,131.2
Zach Hyman,Toronto,LW,82,13,22,35,9,0,34,113,49,152,130.9
Alexander Wennberg,Columbus,C,70,10,31,41,10,10,12,37,48,89,130.3
Michael Frolik,Calgary,RW,72,13,20,33,-4,2,34,52,40,173,130.1
Bobby Ryan,Ottawa,RW,67,14,22,36,-9,7,20,102,41,130,130.0
Phillip Danault,Montreal,C,77,12,25,37,2,2,38,74,50,126,129.7
Adrian Kempe,Los Angeles,C,78,15,21,36,6,5,36,94,20,123,129.6
Andre Burakovsky,Washington,LW,70,15,21,36,6,4,24,45,31,123,129.6
Micheal Ferland,Carolina,LW,75,17,17,34,-2,4,37,185,28,136,129.2
Michael Grabner,Arizona,RW,79,21,10,31,7,1,14,54,41,153,129.1
Filip Zadina,Detroit,RW,76,16,15,31,2,7,24,45,25,172,127.9
Tobias Rieder,Edmonton,RW,79,15,18,33,-8,5,8,72,43,152,127.9
Dylan Strome,Arizona,C,77,14,22,36,-2,8,32,30,42,119,127.8
Jesper Bratt,New Jersey,RW,77,12,25,37,-10,10,20,45,23,115,127.5
Brendan Perlini,Arizona,LW,78,19,13,32,-4,10,32,80,32,141,127.2
Oskar Klefbom,Edmonton,D,74,9,22,31,-3,11,12,46,141,202,126.9
Sam Gagner,Vancouver,RW,71,12,22,34,-6,11,30,36,22,148,126.6
Mattias Janmark,Dallas,LW,77,17,17,34,1,4,22,10,31,122,126.4
Brady Skjei,N.Y. Rangers,D,81,5,31,36,-8,8,46,157,110,156,126.2
Anthony Cirelli,Tampa Bay,C,77,15,20,35,3,2,26,74,26,113,125.1
Bryan Rust,Pittsburgh,RW,72,14,19,33,5,2,20,120,40,143,125.1
Noah Hanifin,Calgary,D,80,7,28,35,-8,11,24,72,73,150,124.5
Lars Eller,Washington,C,80,15,17,32,-3,3,36,81,51,147,124.4
Andrew Ladd,N.Y. Islanders,LW,76,17,15,32,-2,5,32,99,42,137,124.4
Daniel Sprong,Pittsburgh,RW,75,17,13,30,3,0,0,83,25,162,124.4
Jared Spurgeon,Minnesota,D,70,10,26,36,7,11,12,57,138,122,124.4
Brock McGinn,Carolina,LW,79,15,17,32,-11,2,22,147,26,145,124.0
Jakub Vrana,Washington,LW,75,15,17,32,3,7,12,32,19,143,123.6
Nikita Scherbak,Montreal,RW,72,13,22,35,-10,6,20,45,40,115,123.5
Devin Shore,Dallas,LW,82,12,23,35,-12,8,14,58,64,119,123.3
Dmitry Orlov,Washington,D,82,9,26,35,11,4,34,144,111,133,123.1
Shea Weber,Montreal,D,50,12,22,34,3,14,24,111,109,130,123.0
Alex Goligoski,Arizona,D,80,9,27,36,-7,9,28,116,152,120,123.0
Valeri Nichushkin,Dallas,RW,79,13,20,33,4,3,12,80,30,137,122.9
Radek Faksa,Dallas,C,80,15,18,33,8,2,52,101,59,125,122.5
Robert Thomas,St. Louis,C,75,11,24,35,4,4,28,40,30,120,122.5
Carl Soderberg,Colorado,C,79,12,21,33,-8,6,26,48,56,140,122.5
Logan Brown,Ottawa,C,75,14,19,33,-8,6,12,38,32,130,122.5
Ryan Hartman,Nashville,RW,77,15,16,31,7,1,71,117,34,150,122.5
Thomas Chabot,Ottawa,D,78,11,23,34,-9,11,20,63,90,132,122.4
Ryan Kesler,Anaheim,C,63,14,19,33,1,10,63,126,61,127,121.9
Miles Wood,New Jersey,LW,75,16,13,29,-8,3,93,87,28,166,121.7
Patrick Maroon,St. Louis,LW,75,15,16,31,3,6,83,160,16,141,120.7
Brent Seabrook,Chicago,D,81,7,27,34,2,10,34,101,159,143,120.6
Cam Fowler,Anaheim,D,72,8,26,34,1,13,26,28,116,136,120.2
Carl Hagelin,Pittsburgh,LW,76,10,21,31,8,0,26,94,32,161,119.7
Mike Green,Detroit,D,69,9,25,34,-11,14,38,82,78,128,119.6
Justin Abdelkader,Detroit,LW,74,13,20,33,-12,9,82,175,38,119,119.3
Ryan Strome,Edmonton,C,76,12,20,32,-6,6,34,53,18,135,119.0
Alexander Kerfoot,Colorado,RW,76,11,25,36,-4,14,32,48,41,90,119.0
Derek Ryan,Calgary,C,74,13,21,34,-9,8,26,43,32,104,118.8
Filip Chytil,N.Y. Rangers,C,75,10,19,29,-10,3,30,27,9,179,118.3
Brandon Montour,Anaheim,D,79,8,23,31,10,9,44,92,84,164,118.3
Colin Miller,Vegas,D,75,9,23,32,-2,11,66,133,61,144,117.8
Tyler Bertuzzi,Detroit,LW,77,10,23,33,-3,2,57,95,55,125,117.5
Charlie McAvoy,Boston,D,75,6,31,37,15,9,65,167,100,95,117.5
Sven Baertschi,Vancouver,LW,67,16,16,32,-4,7,18,33,34,107,117.4
Connor Brown,Toronto,RW,80,15,16,31,1,5,14,35,34,123,117.1
Calle Jarnkrok,Nashville,C,75,15,16,31,7,4,16,39,29,117,115.9
Tom Wilson,Washington,RW,80,12,20,32,4,1,167,248,47,119,115.8
Marc-Edouard Vlasic,San Jose,D,76,9,22,31,9,6,38,30,156,146,115.7
Nick Ritchie,Anaheim,LW,77,12,18,30,3,3,71,243,27,140,115.0
Jaccob Slavin,Carolina,D,82,7,26,33,9,3,12,41,158,127,114.9
Travis Zajac,New Jersey,C,70,12,21,33,-6,9,26,65,34,101,114.7
T.J. Brodie,Calgary,D,74,5,31,36,-3,11,20,23,104,98,114.6
Chris Tierney,San Jose,C,81,13,19,32,-4,4,10,32,43,106,114.2
Sam Bennett,Calgary,LW,80,13,16,29,-15,4,58,129,36,143,114.1
Patrik Berglund,Buffalo,C,66,16,14,30,-4,6,30,118,36,115,114.0
Pavel Zacha,New Jersey,C,77,10,22,32,-9,10,26,70,25,116,113.2
Mattias Ekholm,Nashville,D,81,8,24,32,12,7,42,69,112,126,113.2
Justin Schultz,Pittsburgh,D,69,6,27,33,15,12,20,44,87,122,112.9
Sami Vatanen,New Jersey,D,72,5,27,32,-2,16,32,86,111,137,112.4
Patrick Eaves,Anaheim,RW,60,15,12,27,3,8,20,71,30,149,112.3
Vinnie Hinostroza,Arizona,RW,74,11,19,30,-2,5,24,46,29,131,112.2
Mark Jankowski,Calgary,C,76,16,12,28,-5,3,36,40,56,130,112.0
Jonathan Dahlen,Vancouver,LW,75,14,13,27,-3,3,16,30,25,150,111.5
Michael Rasmussen,Detroit,LW,70,15,14,29,-5,2,28,60,20,120,111.5
Jesse Puljujarvi,Edmonton,RW,74,13,15,28,3,2,20,62,26,142,111.4
Riley Nash,Columbus,C,75,12,19,31,6,3,16,74,48,107,110.9
Zack Smith,Ottawa,LW,73,13,16,29,-10,3,63,124,31,127,110.9
Tyson Jost,Colorado,LW,75,14,14,28,-10,9,28,40,32,134,110.8
Frank Vatrano,Florida,LW,68,14,11,25,-2,3,36,96,32,171,110.7
Alexander Edler,Vancouver,D,65,6,24,30,-9,11,54,126,163,148,110.6
Brandon Sutter,Vancouver,C,65,13,16,29,-4,4,10,58,38,125,110.5
Jan Kovar,N.Y. Islanders,C,70,10,21,31,-5,6,44,60,30,110,109.5
Blake Comeau,Dallas,RW,79,11,19,30,-5,3,50,140,31,116,109.2
Andrew Shaw,Montreal,RW,68,13,16,29,-2,7,71,114,28,117,108.9
Hampus Lindholm,Anaheim,D,73,11,18,29,10,9,36,88,101,127,108.9
Valtteri Filppula,N.Y. Islanders,C,79,10,23,33,-5,6,28,26,41,81,108.7
